packageName,className,methodName,mcrCategories,mcrTags
com.novetta.clavin.index,IndexDirectoryBuilder,main,Logging Frameworks,logging
com.novetta.clavin.index,IndexDirectoryBuilder,main,I/O Utilities,io
com.novetta.clavin.index,IndexDirectoryBuilder,main,Command Line Parsers,parser
com.novetta.clavin.index,IndexDirectoryBuilder,main,Command Line Parsers,cli
com.novetta.clavin.index,IndexDirectoryBuilder,main,Command Line Parsers,command-line
com.novetta.clavin.resolver,ClavinLocationResolverTest,testResolveLocations,Testing Frameworks,junit
com.novetta.clavin.resolver,ClavinLocationResolverTest,testResolveLocations,Testing Frameworks,testing
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_ManualResolve_NullParent,Testing Frameworks,testing
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_ManualResolve_NullParent,Mocking,testing
com.novetta.clavin.resolver,ClavinLocationResolverTest,testBorderCases,Testing Frameworks,junit
com.novetta.clavin.resolver,ClavinLocationResolverTest,testBorderCases,Testing Frameworks,testing
com.novetta.clavin.gazetteer,BasicGeoName,getModificationDate,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,makeOccurrencesFromNames,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_RestrictedParents,Testing Frameworks,junit
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_RestrictedParents,Testing Frameworks,testing
com.novetta.clavin.util,InfiniteCharArray,.,none,none
com.novetta.clavin.gazetteer,GeoName,getAdmin2Code,none,none
com.novetta.clavin.extractor,TextBody,getText,none,none
com.novetta.clavin.index,IndexDirectoryBuilder,resolveUnresolved,Logging Frameworks,slf4j
com.novetta.clavin.index,IndexDirectoryBuilder,resolveUnresolved,Logging Frameworks,api
com.novetta.clavin.index,IndexDirectoryBuilder,resolveUnresolved,Logging Frameworks,logging
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,setUp,Testing Frameworks,junit
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,setUp,Testing Frameworks,testing
com.novetta.clavin.extractor,Entity,setType,none,none
com.novetta.clavin.gazetteer,GeoName,getAlternateCountryCodes,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getFeatureClass,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getGeonameID,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getGazetteerRecordWithAncestry,none,none
com.novetta.clavin.index,IndexDirectoryBuilder,logUnresolved,Logging Frameworks,slf4j
com.novetta.clavin.index,IndexDirectoryBuilder,logUnresolved,Logging Frameworks,api
com.novetta.clavin.index,IndexDirectoryBuilder,logUnresolved,Logging Frameworks,logging
com.novetta.clavin.extractor,ApacheExtractorTest,testExtractLocationNames,Testing Frameworks,junit
com.novetta.clavin.extractor,ApacheExtractorTest,testExtractLocationNames,Testing Frameworks,testing
com.novetta.clavin.resolver.multipart,DefaultScorer,.,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_LazyResolve_NotResolved_FoundParent,Testing Frameworks,testing
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_LazyResolve_NotResolved_FoundParent,Mocking,testing
com.novetta.clavin,GeoParserFactoryTest,testGetDefault,Testing Frameworks,junit
com.novetta.clavin,GeoParserFactoryTest,testGetDefault,Testing Frameworks,testing
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,resolveWithHeuristics,none,none
