packageName,className,methodName,mcrCategories,mcrTags
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,null,null
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,null,null
org.aksw.agdistis.algorithm,CandidateUtil,checkLabelCandidates,null,null
org.aksw.agdistis.util,TripleIndex,getIreader,null,null
org.aksw.agdistis.model,AgdistisEntity,setOffset,none,none
org.aksw.agdistis.util,TripleIndexContext,search,null,null
org.aksw.agdistis.util,TripleIndexContext,search,null,null
org.aksw.agdistis.util,TripleIndexContext,search,null,null
org.aksw.agdistis.util,TripleIndexContext,search,null,null
org.aksw.agdistis.datatypes,Document,addText,none,none
org.aksw.agdistis.util,Stemming,stemming,null,null
org.aksw.agdistis.util,Stemming,stemming,null,null
org.aksw.agdistis.datatypes,Label,getLabel,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,clone,none,none
org.aksw.agdistis.model,NamedEntity,setStart,none,none
org.aksw.agdistis.webapp,RestletApplication,.,none,none
org.aksw.agdistis.model,Result,setNamedEntities,none,none
org.aksw.agdistis.datatypes,Label,setStart,none,none
org.aksw.agdistis.util,Triple,.,none,none
org.aksw.agdistis.datatypes,Document,toString,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,extractLabel,none,none
org.aksw.agdistis.model,Result,.,none,none
org.aksw.agdistis.util,LiteralAnalyzer,createComponents,null,null
org.aksw.agdistis.webapp,RunApp,main,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,hashCode,none,none
org.aksw.agdistis.algorithm,DomainWhiteLister,fitsIntoDomain,none,none
org.aksw.agdistis.datatypes,NamedEntitiesInText,getValue,none,none
org.aksw.agdistis.graph,Node,.,none,none
org.aksw.agdistis.webapp,GetDisambiguation,NIFType,null,null
org.aksw.agdistis.model,AgdistisEntity,toString,none,none
org.aksw.agdistis.util,TripleIndexCreator,createIndex,null,null
org.aksw.agdistis.util,TripleIndexCreator,createIndex,null,null
org.aksw.agdistis.datatypes,Document,equals,none,none
org.aksw.agdistis.algorithm,DomainWhiteLister,loadWhiteDomains,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,toString,none,none
org.aksw.agdistis.graph,Node,setActivation,none,none
org.aksw.agdistis.model,AgdistisEntity,compareTo,none,none
org.aksw.agdistis.model,NamedEntity,getType,none,none
org.aksw.agdistis.datatypes,Label,setLabel,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,getEdgeType,none,none
org.aksw.agdistis.model,AgdistisEntity,getDisambiguatedURL,none,none
org.aksw.agdistis.model,FrontendContent,setEntities,none,none
org.aksw.agdistis.algorithm,CorporationAffixCleaner,loadCorporationAffixes,none,none
org.aksw.agdistis.util,Stemming,.,null,null
org.aksw.agdistis.algorithm,CandidateUtil,getIndex,none,none
org.aksw.agdistis.graph,Node,setHubWeightForCalculation,none,none
org.aksw.agdistis.algorithm,NEDAlgo_HITS,setHeuristicExpansionOn,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,indexTTLFile,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,indexTTLFile,null,null
org.aksw.agdistis.util,PreprocessingNLP,Preprocessing,none,none
org.aksw.agdistis.util,Word2num,main,none,none
null,TripleIndexCreatorTest,testMinimalOntologyExample,null,null
null,TripleIndexCreatorTest,testMinimalOntologyExample,null,null
null,HitsTest,testSimpleHITS,null,null
null,HitsTest,testSimpleHITS,null,null
null,AGDISTISTest,testUmlaute,null,null
null,TripleIndexTest,testMultipleTermsPerField,null,null
null,TripleIndexTest,testMultipleTermsPerField,null,null
org.aksw.agdistis.graph,Node,getSuccessors,none,none
org.aksw.agdistis.model,FrontendContent,getText,none,none
org.aksw.agdistis.util,TripleIndexContext,.,null,null
org.aksw.agdistis.util,TripleIndexContext,.,null,null
org.aksw.agdistis.util,TripleIndexContext,.,null,null
org.aksw.agdistis.util,TripleIndexContext,.,null,null
org.aksw.agdistis.datatypes,DocumentText,getText,none,none
org.aksw.agdistis.util,Triple,getObject,none,none
org.aksw.agdistis.graph,Node,toString,none,none
org.aksw.agdistis.util,TripleIndex,setIndex,null,null
org.aksw.agdistis.algorithm,CandidateUtil,insertCandidatesIntoText,null,null
org.aksw.agdistis.algorithm,CandidateUtil,insertCandidatesIntoText,null,null
org.aksw.agdistis.model,AgdistisEntity,setEnd,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,null,null
org.aksw.agdistis.util,TripleIndexCreatorContext,createIndex,null,null
org.aksw.agdistis.algorithm,NEDAlgo_HITS,.,null,null
org.aksw.agdistis.datatypes,Candidate,setId,none,none
org.aksw.agdistis.datatypes,DocumentText,equals,none,none
org.aksw.agdistis.datatypes,Candidate,toString,none,none
org.aksw.agdistis.model,Result,toString,none,none
org.aksw.agdistis.util,TripleIndexCreator,close,null,null
org.aksw.agdistis.datatypes,NamedEntitiesInText,.,none,none
org.aksw.agdistis.graph,Node,equals,none,none
org.aksw.agdistis.graph,Node,setUnnormalizedAuthorityWeight,none,none
org.aksw.agdistis.datatypes,NamedEntityInText,getLabel,none,none
org.aksw.agdistis.model,NamedEntity,hashCode,none,none
org.aksw.agdistis.util,TripleIndexCreatorContext,search,null,null
