packageName,className,methodName,api,mcrCategories,mcrTags
com.intuit.fuzzymatcher.component,MatchServiceTest,getTestData,none,none,none
com.intuit.fuzzymatcher.domain,Match,hashCode,none,none,none
com.intuit.fuzzymatcher.function,ScoringFunction,getSumOfWeights,none,none,none
com.intuit.fuzzymatcher.domain,Element,.,none,none,none
com.intuit.fuzzymatcher.domain,Document,isSource,none,none,none
com.intuit.fuzzymatcher.component,MatchServicePerfTest,getBigDataDocuments,none,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchWithInteger,junit:junit,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldRemoveSpecialCharPhone_Success,junit:junit,null,null
com.intuit.fuzzymatcher.component,Dictionary,.,org.slf4j:slf4j-api,null,null
com.intuit.fuzzymatcher.domain,Element,setPreProcessedValue,none,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldOverridePreProcessingDictionary,junit:junit,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldGetNullString_Success,junit:junit,null,null
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetValueTokenizerForNumber_Success,junit:junit,null,null
com.intuit.fuzzymatcher.function,ScoringFunction,getUnmatchedChildScore,none,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,itShouldGiveAverageScoreWithEmptyFields_Success,junit:junit,null,null
com.intuit.fuzzymatcher.domain,Match,.,none,none,none
com.intuit.fuzzymatcher.util,Utils,isNumeric,none,none,none
com.intuit.fuzzymatcher.domain,ElementTest,itShouldNotMatchPhoneticWordsWithChainTokenizerFunction,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchService,containsMatch,none,none,none
com.intuit.fuzzymatcher.util,Utils,getNGrams,org.apache.lucene:lucene-analyzers-common,null,null
com.intuit.fuzzymatcher.util,Utils,getNGrams,org.apache.lucene:lucene-core,null,null
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldRemoveTrailingNumbersFromName_Success,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,.,org.slf4j:slf4j-api,null,null
com.intuit.fuzzymatcher.component,ElementMatchTest,itShouldMatchUnorderedTokens,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,getTestDocuments,none,none,none
com.intuit.fuzzymatcher.function,ScoringFunctionTest,getMockToken,org.mockito:mockito-all,null,null
com.intuit.fuzzymatcher.domain,ElementTest,itShouldMatchUnequalWordsWithChainTokenizerFunction,junit:junit,null,null
com.intuit.fuzzymatcher.domain,Document,getElements,none,none,none
com.intuit.fuzzymatcher.domain,Matchable,getUnmatchedChildCount,none,none,none
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNumberWithNearestNeighbor,junit:junit,null,null
com.intuit.fuzzymatcher.domain,DocumentTest,itShouldGetUnmatchedCountForUnbalancedDoc,junit:junit,null,null
com.intuit.fuzzymatcher.component,ElementMatchTest,getElement,none,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,getDemoDocuments,none,none,none
com.intuit.fuzzymatcher.function,PreProcessFunction,namePreprocessing,none,none,none
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForUnBalancedEmptyElements,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchServiceTest,itShouldApplyMatchForUnBalancedEmptyElements,org.mockito:mockito-all,null,null
com.intuit.fuzzymatcher.component,TokenRepoTest,shouldGetForNameWithEquality,junit:junit,null,null
com.intuit.fuzzymatcher.component,MatchService,applyMatchByGroups,org.apache.commons:commons-collections4,null,null
com.intuit.fuzzymatcher.function,ScoringFunction,getWeightedAverageScore,none,none,none
com.intuit.fuzzymatcher.function,PreProcessFunctionTest,itShouldApplyNumberPreprocessing_Failure,junit:junit,null,null
com.intuit.fuzzymatcher.component,DocumentMatch,matchDocuments,none,none,none
com.intuit.fuzzymatcher.domain,Document,getOrderedElements,none,none,none
com.intuit.fuzzymatcher.domain,Element,getTokenizerFunction,none,none,none
com.intuit.fuzzymatcher.exception,MatchException,.,none,none,none
com.intuit.fuzzymatcher.domain,Document,.,none,none,none
com.intuit.fuzzymatcher.domain,Element,getDocument,none,none,none
com.intuit.fuzzymatcher.function,TokenizerFunctionTest,itShouldGetValueTokenizer_Success,junit:junit,null,null
