packageName,className,methodName,api,mcrCategories,mcrTags
org.dependencytrack.notification.publisher,ConsolePublisherTest,testErrorStream,us.springett:alpine,null,null
org.dependencytrack.resources.v1,ComponentResourceTest,getComponentByUuidTest,none,none,none
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,getSelfNonUserTest,none,none,none
org.dependencytrack.integrations.kenna,KennaDataTransformer,process,org.json:json,null,null
org.dependencytrack.integrations.kenna,KennaDataTransformer,process,us.springett:alpine,null,null
org.dependencytrack.model,ComponentIdentity,getSwidTagId,none,none,none
org.dependencytrack.model,DependencyMetrics,setInheritedRiskScore,none,none,none
org.dependencytrack.model,ProjectMetrics,getPolicyViolationsSecurityUnaudited,none,none,none
org.dependencytrack.model,ProjectProperty,getPropertyName,none,none,none
org.dependencytrack.model,Vulnerability,getFindingAttribution,none,none,none
org.dependencytrack.notification.vo,NewVulnerableDependency,getVulnerabilities,none,none,none
org.dependencytrack.parser.vulndb,ModelConverter,.,us.springett:alpine,null,null
org.dependencytrack.persistence,ProjectQueryManager,resolveTags,none,none,none
org.dependencytrack.resources.v1,AccessControlResource,deleteMapping,us.springett:alpine,null,null
org.dependencytrack.resources.v1,SearchResource,componentSearch,us.springett:alpine,null,null
org.dependencytrack.resources.v1,VulnerabilityResource,getAffectedProject,us.springett:alpine,null,null
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,minimizePurl,com.github.package-url:packageurl-java,null,null
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,oldPurlResolver,com.github.package-url:packageurl-java,null,null
org.dependencytrack.integrations.fortifyssc,FortifySscUploaderTest,testIntegrationFindings,none,none,none
org.dependencytrack.model,AnalysisTest,testComponent,none,none,none
org.dependencytrack.model,Cpe,setLanguage,none,none,none
org.dependencytrack.model,Cwe,setCweId,none,none,none
org.dependencytrack.model,ProjectMetrics,setPolicyViolationsAudited,none,none,none
org.dependencytrack.notification.vo,AnalysisDecisionChange,getComponent,none,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,setGhsaId,none,none,none
org.dependencytrack.parser.npm.model,Advisory,setCreated,none,none,none
org.dependencytrack.parser.npm.model,Advisory,setTitle,none,none,none
org.dependencytrack.parser.npm.model,Advisory,setModuleName,none,none,none
org.dependencytrack.parser.ossindex.model,ComponentReportVulnerability,.,none,none,none
org.dependencytrack.parser.ossindex.model,ComponentReportVulnerability,getCvssVector,none,none,none
org.dependencytrack.policy,CpePolicyEvaluator,evaluate,us.springett:alpine,null,null
org.dependencytrack.model,VulnerabilityTest,testUpdated,none,none,none
org.dependencytrack.model,Component,setParent,none,none,none
org.dependencytrack.model,DependencyMetrics,setLastOccurrence,none,none,none
org.dependencytrack.model,ExternalReference,.,us.springett:alpine,null,null
org.dependencytrack.model,ExternalReference,.,org.cyclonedx:cyclonedx-core-java,null,null
org.dependencytrack.model,NotificationPublisher,getTemplate,none,none,none
org.dependencytrack.persistence,BomQueryManager,.,us.springett:alpine,null,null
org.dependencytrack.persistence,ComponentQueryManager,getAllComponents,none,none,none
org.dependencytrack.persistence,NotificationQueryManager,getNotificationRules,us.springett:alpine,null,null
org.dependencytrack.persistence,QueryManager,synchronizeRepositoryMetaComponent,none,none,none
org.dependencytrack.policy,AbstractPolicyEvaluator,setQueryManager,none,none,none
org.dependencytrack.resources.v1,OidcResource,deleteMappingByUuid,us.springett:alpine,null,null
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,generateRandomSession,none,none,none
org.dependencytrack.event,NistMirrorEventTest,testDefaultConstructor,none,none,none
org.dependencytrack,PersistenceCapableTest,dbReset,us.springett:alpine,null,null
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,createGroupShouldReturnCreatedGroup,us.springett:alpine,null,null
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,addMappingShouldIndicateNotFoundWhenGroupDoesNotExist,us.springett:alpine,null,null
org.dependencytrack.model,Vulnerability,getRecommendation,none,none,none
org.dependencytrack.model,VulnerableSoftware,getLanguage,none,none,none
org.dependencytrack.model,VulnerableSoftware,setLanguage,none,none,none
org.dependencytrack.persistence,MetricsQueryManager,getMostRecentPortfolioMetrics,none,none,none
org.dependencytrack.resources.v1,ServiceResource,updateService,us.springett:alpine,null,null
org.dependencytrack.tasks,NpmAdvisoryMirrorTask,updateDatasource,us.springett:alpine,null,null
org.dependencytrack.event,OssIndexAnalysisEventTest,testComponentConstructor,none,none,none
org.dependencytrack.integrations,FindingPackagingFormatTest,.,none,none,none
org.dependencytrack.model,NotificationPublisherTest,testDefaultPublisher,none,none,none
org.dependencytrack.model,RepositoryTypeTest,testResolveNuget,com.github.package-url:packageurl-java,null,null
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,updateConfigPropertyStringTest,us.springett:alpine,null,null
org.dependencytrack.resources.v1,RepositoryResourceTest,.,none,none,none
org.dependencytrack.integrations,IntegrationPoint,description,none,none,none
org.dependencytrack.model,Component,setSha512,none,none,none
org.dependencytrack.model,Component,setRepositoryMeta,none,none,none
org.dependencytrack.model,Component,setCacheResult,none,none,none
org.dependencytrack.model,Cpe,setVendor,none,none,none
org.dependencytrack.model,DataClassification,setName,none,none,none
org.dependencytrack.model,NotificationRule,setUuid,none,none,none
org.dependencytrack.notification.vo,NewVulnerabilityIdentified,.,none,none,none
org.dependencytrack.upgrade.v400,v400Updater,executeUpgrade,us.springett:alpine,null,null
org.dependencytrack.exception,ParseExceptionTest,testMessageThrowableConstructor,none,none,none
org.dependencytrack.model,LicenseTest,testTemplate,none,none,none
org.dependencytrack.model,VulnerabilityMetricsTest,testMeasuredAt,none,none,none
org.dependencytrack.resources.v1,ProjectPropertyResourceTest,.,none,none,none
