packageName,className,methodName,api,mcrCategories,mcrTags
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_LazyResolve_NotResolved_FoundParent,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,LazyAncestryGeoNameTest,testGetParent_LazyResolve_NotResolved_FoundParent,org.mockito:mockito-core,Mocking,"mock,mocking,testing"
com.novetta.clavin,GeoParserFactoryTest,testGetDefault,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,resolveWithHeuristics,none,none,none
com.novetta.clavin.index,IndexDirectoryBuilder,checkDescendantsResolved,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.gazetteer.query,QueryBuilder,.,none,none,none
com.novetta.clavin.util,DamerauLevenshtein,isEditDistance1,none,none,none
com.novetta.clavin.resolver.multipart,MultiLevelMultipartLocationResolverTest,.,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,BasicGeoName,getTimezone,none,none,none
com.novetta.clavin.resolver.multipart,MultipartLocationName,.,none,none,none
com.novetta.clavin.util,DamerauLevenshtein,damerauLevenshteinDistance,none,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_RestrictedCodes,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver,ClavinLocationResolverHeuristicsTest,testNoHeuristics,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver,LuceneLocationResolver,resolveLocations,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.resolver,LuceneLocationResolver,resolveLocations,org.apache.lucene:lucene-queryparser,none,"lucene,apache,index"
com.novetta.clavin.gazetteer,BasicGeoNameTest,testTopLevelAncestryKeys,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.resolver.multipart,MultipartLocationResolver,.,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.resolver,ResolvedLocation,.,none,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getLongitude,none,none,none
com.novetta.clavin.gazetteer.query,LuceneGazetteerTest,testResolveLocations_NullLocationOccurrence,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getAlternateCountryCodes,none,none,none
com.novetta.clavin.resolver.multipart,MatchedLocation,isFullySpecified,none,none,none
com.novetta.clavin.resolver.multipart,MultipartLocationResolver,findCandidates,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.resolver.multipart,ResolvedMultipartLocation,getCity,none,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoName,getAdmin2Code,none,none,none
com.novetta.clavin.index,BinarySimilarity,idfExplain,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index"
com.novetta.clavin.resolver,ResolvedLocationTest,testEquals,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.extractor,AdaptNlpExtractor,extractLocationNames,org.apache.opennlp:opennlp-tools,Natural Language Processing,"nlp,tools,apache"
com.novetta.clavin.extractor,AdaptNlpExtractor,extractLocationNames,com.fasterxml.jackson.core:jackson-databind,JSON Libraries,"binding,json"
com.novetta.clavin.extractor,AdaptNlpExtractor,extractLocationNames,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.extractor,AdaptNlpExtractor,extractLocationNames,org.apache.httpcomponents:httpclient,HTTP Clients,"apache,client,http"
com.novetta.clavin.gazetteer.query,QueryBuilder,removeParentIds,none,none,none
com.novetta.clavin.index,IndexDirectoryBuilder,buildIndex,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index"
com.novetta.clavin.index,IndexDirectoryBuilder,buildIndex,org.slf4j:slf4j-api,Logging Frameworks,"logging,api,slf4j"
com.novetta.clavin.gazetteer,BasicGeoName,getAdminLevel,none,none,none
com.novetta.clavin.gazetteer.query,GazetteerQuery,getFuzzyMode,none,none,none
com.novetta.clavin.index,BinarySimilarity,idf,none,none,none
com.novetta.clavin.resolver.multipart,MultipartLocationName,toString,none,none,none
com.novetta.clavin.resolver,ClavinLocationResolverTest,setUp,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer.query,QueryBuilder,removeAdminCodes,none,none,none
com.novetta.clavin.resolver.multipart,MultiLevelMultipartLocationResolverTest,testResolveMultipartLocation,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer,BasicGeoName,hashCode,none,none,none
com.novetta.clavin.resolver,ResolvedLocation,getLocation,none,none,none
com.novetta.clavin.extractor,LocationOccurrence,equals,none,none,none
com.novetta.clavin.resolver.multipart,ResolvedMultipartLocation,getCountry,none,none,none
com.novetta.clavin.extractor,LocationOccurrenceTest,testEquals,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,getMaxSize,none,none,none
com.novetta.clavin.resolver,ClavinLocationResolverTest,testSanitizedInput,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.gazetteer.query,UniqueFuzzyScoringRewrite,addClause,org.apache.lucene:lucene-core,Full-Text Indexing Libraries,"lucene,indexing,apache,full-text,index"
com.novetta.clavin.util,InfiniteCharArray,remainder,none,none,none
com.novetta.clavin.gazetteer,GeoName,getAlternateNames,none,none,none
com.novetta.clavin.resolver.multipart,MultipartLocationName,getState,none,none,none
com.novetta.clavin,AllTestsSuite,.,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.util,DamerauLevenshteinTest,testDamerauLevenshteinDistance,junit:junit,Testing Frameworks,"testing,junit"
com.novetta.clavin.extractor,Entity,.,none,none,none
com.novetta.clavin.resolver.multipart,MatchedLocation,equals,none,none,none
com.novetta.clavin.gazetteer,BasicGeoName,getParentAncestryKey,none,none,none
com.novetta.clavin.gazetteer,LazyAncestryGeoName,isTopLevelAdminDivision,none,none,none
