packageName,className,methodName,mcrCategories,mcrTags
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,addReference,none,none
org.dependencytrack.resources.v1,ServiceResource,createService,null,null
org.dependencytrack.model,RepositoryMetaComponentTest,testId,none,none
org.dependencytrack,ResourceTest,before,null,null
org.dependencytrack.event,InternalComponentIdentificationEvent,.,null,null
org.dependencytrack.model,Policy,setPolicyConditions,none,none
org.dependencytrack.model,PortfolioMetrics,setVulnerableComponents,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsSecurityAudited,none,none
org.dependencytrack.model,Project,getTags,none,none
org.dependencytrack.model,ProjectMetrics,setFindingsTotal,none,none
org.dependencytrack.model,RepositoryMetaComponent,setId,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,getUpdatedAt,none,none
org.dependencytrack.parser.npm.model,AdvisoryResults,setPrevious,none,none
org.dependencytrack.persistence,QueryManager,updateLastBomImport,none,none
org.dependencytrack.resources.v1,PermissionResource,.,null,null
org.dependencytrack.search,VulnerabilityIndexer,getInstance,none,none
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,getAnalyzerIdentity,none,none
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,inform,null,null
org.dependencytrack.event,MetricsUpdateEventTest,testProjectEvent,none,none
org.dependencytrack.integrations.defectdojo,DefectDojoClientTest,before,none,none
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,updateConfigPropertyNumberTest,null,null
org.dependencytrack.resources.v1,NotificationRuleResourceTest,addProjectToRuleInvalidRuleTest,none,none
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,updateManagedUserInvalidEmailTest,null,null
org.dependencytrack.resources.v1,UserResourceUnauthenticatedTest,forceChangePasswordInvalidCredsTest,none,none
org.dependencytrack.model,PolicyCondition,setUuid,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsOperationalAudited,none,none
org.dependencytrack.parser.nvd,NvdParser,generateVulnerableSoftware,null,null
org.dependencytrack.parser.nvd,NvdParser,generateVulnerableSoftware,null,null
org.dependencytrack.policy,CoordinatesPolicyEvaluator,versionMatches,null,null
org.dependencytrack.search,VulnerableSoftwareIndexer,remove,null,null
org.dependencytrack.search,VulnerableSoftwareIndexer,remove,null,null
org.dependencytrack.tasks.scanners,ScanTask,analyze,none,none
org.dependencytrack.tasks,TaskScheduler,getInstance,none,none
org.dependencytrack.common,ManagedHttpClientFactoryTest,before,none,none
org.dependencytrack.resources.v1,ProjectResourceTest,getProjectByInvalidUuidTest,none,none
org.dependencytrack.resources.v1,VulnerabilityResourceTest,unassignVulnerabilityInvalidVulnerabilityTest,none,none
org.dependencytrack.model,Component,setUsedBy,none,none
org.dependencytrack.model,DependencyMetrics,getFindingsAudited,none,none
org.dependencytrack.model,PortfolioMetrics,setPolicyViolationsLicenseTotal,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,setOrigin,none,none
org.dependencytrack.parser.npm.model,Advisory,setVersion,none,none
org.dependencytrack.persistence,PolicyQueryManager,getAllPolicyViolations,none,none
org.dependencytrack.persistence,QueryManager,getProjectMetrics,null,null
org.dependencytrack.persistence,QueryManager,clearComponentAnalysisCache,none,none
org.dependencytrack.policy,LicensePolicyEvaluator,supportedSubject,none,none
org.dependencytrack.resources.v1,OidcResource,deleteMapping,null,null
org.dependencytrack.search,LicenseIndexer,getInstance,none,none
org.dependencytrack.search,ProjectIndexer,getInstance,none,none
org.dependencytrack.integrations,FindingUploaderTest,testIsEnabled_False,null,null
org.dependencytrack.model,FindingTest,testAnalysis,none,none
org.dependencytrack.persistence,DefaultObjectGeneratorTest,testLoadDefaultRepositories,none,none
org.dependencytrack.persistence,PackageURLStringConverterTest,testConvertToDatastoreUrl,null,null
org.dependencytrack.policy,CoordinatesPolicyEvaluatorTest,hasMatchWithoutGroup,none,none
org.dependencytrack.policy,SwidTagIdPolicyEvaluatorTest,wrongSubject,none,none
org.dependencytrack.resources.v1,LdapResourceTest,addMappingInvalidTest,none,none
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,removeTeamFromUserTest,null,null
org.dependencytrack.model,Component,getPurlCoordinates,null,null
org.dependencytrack.model,License,setOsiApproved,none,none
org.dependencytrack.model,ProjectMetrics,.,none,none
org.dependencytrack.model,ServiceComponent,setLastInheritedRiskScore,none,none
org.dependencytrack.notification.vo,NewVulnerabilityIdentified,getComponent,none,none
org.dependencytrack.parser.github.graphql.model,GitHubSecurityAdvisory,getCvssVector,none,none
org.dependencytrack.persistence,NotificationQueryManager,removeProjectFromNotificationRules,null,null
org.dependencytrack.persistence,ProjectQueryManager,createProject,null,null
org.dependencytrack.persistence,ProjectQueryManager,createProject,null,null
