packageName,className,apis
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,BigDecimalMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,AllowFilteringWith1000SimilarRowsIT,[junit:junit]
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,DoubleMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,NoneConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.varia,SearchWithLongWideRowsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search,SearchBuilderTest,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,LongMapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.search,MatchSearchIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,GeoPointMapper,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.schema.mapping,BigIntegerMapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.schema.mapping,GeoPointMapperTest,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.search.sort,SimpleSortField,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,BooleanMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,InOperatorWithWideRowsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,SingleMapperCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.util,CassandraConfig,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder]"
com.stratio.cassandra.lucene.search.condition,FuzzyConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.issues,Issue64IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,GeoTransformationCentroidTest,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,DoubleMapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.schema.mapping,MapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,GeospatialCondition,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.search,WildcardSearchIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.type_validation,DataHelper,[com.stratio.cassandra:cassandra-lucene-index-builder]
com.stratio.cassandra.lucene.search.condition,MatchConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,LongMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.builder,BuilderTest,"[com.fasterxml.jackson.core:jackson-databind,junit:junit]"
com.stratio.cassandra.lucene.testsAT.udt,CheckNonFrozenUDTIT,"[com.datastax.cassandra:cassandra-driver-core,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,StringMapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.indexes,ComposedKeyIndexHandlingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,FloatMapper,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.issues,Issue132IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.sort,GeoDistanceSortFieldTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.type_validation,SingleColumnRejectTypeIndexCreationIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,SearchMatchingManyRowsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema,Schema,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.search.condition,AllCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.search.condition,PrefixConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.udt,UDTPartialUpdateIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.analysis,StandardStopwordsTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common]"
com.stratio.cassandra.lucene.testsAT.issues,Issue313IT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.indexes,ComplexKeyIndexHandlingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.issues,Issue165IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.analysis,SnowballAnalyzerBuilderTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.issues,Issue286IT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,PhraseSearchIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.index,NoIDFSimilarityTest,[junit:junit]
com.stratio.cassandra.lucene.testsAT.geospatial,GeoShapeSearchSpatialOperationsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,GeoDistanceConditionTest,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.partitioning,PartitioningOnVirtualNodeIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,GeospatialUtils,[org.apache.lucene:lucene-spatial]
com.stratio.cassandra.lucene.search.condition,RegexpConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.search,AllSearchIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.udt,UDTPartialInsertsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,BlobMapperTest,"[junit:junit,org.apache.cassandra:cassandra-all,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.schema.mapping,FloatMapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.schema.mapping,AbstractMapperTest,[junit:junit]
com.stratio.cassandra.lucene.testsAT.issues,Issue149IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,SingleColumnMapper,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.schema.mapping,GeoShapeMapperTest,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.search.condition,BitemporalCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.issues,Issue123IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,NoneCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.udt,UDTCollectionsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,MatchCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.varia,MultiMappingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,SortWithWideRowsIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,BigDecimalMapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,WildcardConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,FuzzyCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.ttl,SelectPartialExpiredTTLWideRowsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.analysis,SnowballFilter,"[com.github.rholder:snowball-stemmer,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,PhraseCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.util,CassandraConnection,[com.datastax.cassandra:cassandra-driver-core]
com.stratio.cassandra.lucene.schema.mapping,UUIDMapperTest,"[junit:junit,org.apache.cassandra:cassandra-all,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,GeoBBoxCondition,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.varia,SortWithSkinnyRowsIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,DateParser,[org.apache.cassandra:cassandra-all]
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,FloatMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,RegexpCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.deletion,SimpleKeyDataDeletionIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,DateRangeMapper,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.search,MatchSearchWithDocValuesIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.deletion,ComplexKeyDataDeletionIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,BooleanSearchIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.story,ComplexKeyDataHandlingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.udt,UDTIndexingIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.deletion,MultipleKeyDataDeletionIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,StatelessSearchWithSkinnyRowsIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.issues,Issue246IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,DateMapperTest,"[junit:junit,org.apache.cassandra:cassandra-all,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.common,GeospatialUtilsJTS,[com.vividsolutions:jts-core]
com.stratio.cassandra.lucene.testsAT.ttl,SelectTotalExpiredTTLSkinnyRowsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.builder,JSONBuilder,"[com.fasterxml.jackson.core:jackson-core,com.fasterxml.jackson.core:jackson-databind]"
com.stratio.cassandra.lucene.testsAT.varia,LargeFieldIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,GeoShapeTest,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,IntegerMapper,"[org.apache.cassandra:cassandra-all,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,SingleColumnCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.search,SortedSearchIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.indexes,MultipleKeyIndexHandlingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,BlobMapper,[org.apache.cassandra:cassandra-all]
com.stratio.cassandra.lucene.search.condition,WildcardCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.search,SearchTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.issues,Issue143IT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,Condition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.search.sort,SimpleSortFieldTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,BitemporalConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.schema.analysis,ClasspathAnalyzerBuilderTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,GeoDistanceTest,[junit:junit]
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsBuilder,[com.stratio.cassandra:cassandra-lucene-index-builder]
com.stratio.cassandra.lucene.testsAT.varia,ReadStaticColumnsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.geospatial,GeoBBoxSearchIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.indexes,SimpleKeyIndexHandlingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.analysis,StandardAnalyzersTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.varia,SearchWithLongSkinnyRowsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,TextMapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.issues,Issue69IT,"[com.datastax.cassandra:cassandra-driver-core,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,UDFsIT,"[com.datastax.cassandra:cassandra-driver-core,junit:junit]"
com.stratio.cassandra.lucene.testsAT.type_validation,MultipleColumnRejectTypesIndexCreationIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,InetMapperTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,BooleanCondition,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.varia,StatelessSearchWithWideRowsIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,GeoTransformationBBoxTest,[junit:junit]
com.stratio.cassandra.lucene.search,Search,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.search.condition,DateRangeConditionTest,"[junit:junit,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.testsAT.util.monitoring,CassandraJolokiaClient,[org.jolokia:jolokia-client-java]
com.stratio.cassandra.lucene.testsAT.udt,UDTValidationIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,ContainsConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.search,NoneSearchIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsDelete,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder]"
com.stratio.cassandra.lucene.schema.mapping,DateRangeMapperTest,"[junit:junit,org.apache.cassandra:cassandra-all,org.apache.lucene:lucene-core,org.apache.lucene:lucene-spatial]"
com.stratio.cassandra.lucene.search.condition,RangeConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.varia,TokenRangeWithWideRowsMultiClusteringIT,[junit:junit]
com.stratio.cassandra.lucene.schema.analysis,SnowballAnalyzerBuilder,"[org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.sort.builder,SimpleSortFieldBuilderTest,[junit:junit]
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,InetMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,TokenRangeWithSkinnyRowsIT,[junit:junit]
com.stratio.cassandra.lucene.testsAT.geospatial,GeoShapeSearchOverGeoPointsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.geospatial,GeoShapeSearchOverGeoShapesIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,BitemporalSearchIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,BitemporalMapper,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.testsAT.search,FuzzySearchIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,KeywordMapper,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.common,GeoTransformation,[com.vividsolutions:jts-core]
com.stratio.cassandra.lucene.common,GeospatialUtilsJTSTest,[junit:junit]
com.stratio.cassandra.lucene.testsAT.type_validation,MultipleColumnValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.story,ComposedKeyDataHandlingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.common,GeoTransformationConvexHullTest,[junit:junit]
com.stratio.cassandra.lucene.testsAT.varia,MapComponentsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,StringMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema,SchemaAnalyzerTest,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,AbstractConditionTest,[junit:junit]
com.stratio.cassandra.lucene.testsAT.varia,SASICompatibilityIT,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.ttl,SelectPartialExpiredTTLSkinnyRowsIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.util,CassandraUtilsUpdate,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder]"
com.stratio.cassandra.lucene.testsAT.story,ComplexKeyIndexHandlingIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,LongMapper,[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.schema.mapping,IntegerMapperTest,"[junit:junit,org.apache.cassandra:cassandra-all,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.schema.mapping,UUIDMapper,[org.apache.cassandra:cassandra-all]
org.apache.cassandra.service,LuceneStorageProxy,[org.apache.cassandra:cassandra-all]
com.stratio.cassandra.lucene.search.condition,SingleColumnConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.search.condition,PhraseConditionTest,"[junit:junit,org.apache.lucene:lucene-core]"
com.stratio.cassandra.lucene.testsAT.search,PrefixSearchIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,TextMapperValidTypesIndexCreationIT,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.search.condition,RangeCondition,[org.apache.lucene:lucene-core]
