packageName,className,apis
org.dependencytrack.integrations,AbstractIntegrationPointTest,"[org.mockito:mockito-core,us.springett:alpine]"
org.dependencytrack.event,BomUploadEventTest,[us.springett:alpine]
org.dependencytrack.tasks,CloneProjectTask,[us.springett:alpine]
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzer,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,org.apache.maven:maven-artifact,us.springett:alpine]"
org.dependencytrack.notification.publisher,AbstractWebhookPublisher,"[com.konghq:unirest-java,io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.event,MetricsUpdateEvent,[us.springett:alpine]
org.dependencytrack.event,NpmAdvisoryMirrorEvent,[us.springett:alpine]
org.dependencytrack.notification.publisher,ConsolePublisher,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.persistence,VulnerabilityQueryManager,[us.springett:alpine]
org.dependencytrack.parser.github.graphql,GitHubSecurityAdvisoryParser,[com.konghq:unirest-java]
org.dependencytrack.persistence,CweImporterTest,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResource,[us.springett:alpine]
org.dependencytrack.tasks.repositories,GemMetaAnalyzerTest,[com.github.package-url:packageurl-java]
org.dependencytrack.resources.v1,VulnerabilityResourceTest,[us.springett:alpine]
org.dependencytrack.notification.publisher,Publisher,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.tasks.repositories,PypiMetaAnalyzerTest,[com.github.package-url:packageurl-java]
org.dependencytrack.persistence,BomQueryManager,[us.springett:alpine]
org.dependencytrack.tasks.repositories,HexMetaAnalyzer,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.integrations,ProjectFindingUploaderTest,[org.mockito:mockito-core]
org.dependencytrack.persistence,PolicyQueryManager,[us.springett:alpine]
org.dependencytrack.persistence,FindingsQueryManager,[us.springett:alpine]
org.dependencytrack.tasks.repositories,CargoMetaAnalyzer,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.common,ManagedHttpClientFactoryTest,[us.springett:alpine]
org.dependencytrack.tasks.repositories,MavenMetaAnalyzer,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.event,InternalComponentIdentificationEvent,[us.springett:alpine]
org.dependencytrack.model,ComponentIdentity,"[com.github.package-url:packageurl-java,org.cyclonedx:cyclonedx-core-java,org.json:json]"
org.dependencytrack.tasks.repositories,AbstractMetaAnalyzer,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.notification,NotificationSubsystemInitializerTest,[us.springett:alpine]
org.dependencytrack.resources.v1,PermissionResourceTest,[us.springett:alpine]
org.dependencytrack.model,Project,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.resources.v1,TeamResource,[us.springett:alpine]
org.dependencytrack.search,IndexManagerFactory,[us.springett:alpine]
org.dependencytrack.util,PurlUtil,[com.github.package-url:packageurl-java]
org.dependencytrack.integrations,FindingPackagingFormatTest,"[org.json:json,us.springett:alpine]"
org.dependencytrack.model,LicenseGroup,[us.springett:alpine]
org.dependencytrack.model,Tag,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectPropertyResource,[us.springett:alpine]
org.dependencytrack.notification.publisher,WebhookPublisherTest,"[org.mock-server:mockserver-netty,us.springett:alpine]"
org.dependencytrack.resources.v1,BadgeResource,[us.springett:alpine]
org.dependencytrack.parser.cyclonedx.util,ModelConverter,"[com.github.package-url:packageurl-java,org.cyclonedx:cyclonedx-core-java,org.json:json,us.springett:alpine]"
org.dependencytrack.policy,SeverityPolicyEvaluator,[us.springett:alpine]
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResourceTest,[us.springett:alpine]
org.dependencytrack.tasks.scanners,InternalAnalysisTask,"[us.springett:alpine,us.springett:cpe-parser]"
org.dependencytrack.persistence,RepositoryQueryManager,[us.springett:alpine]
org.dependencytrack.search,IndexManager,"[org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,us.springett:alpine]"
org.dependencytrack.tasks.repositories,GoModulesMetaAnalyzerTest,[com.github.package-url:packageurl-java]
org.dependencytrack.resources.v1,AnalysisResourceTest,[us.springett:alpine]
org.dependencytrack.resources.v1,FindingResource,"[org.json:json,us.springett:alpine]"
org.dependencytrack.resources.v1.serializers,CustomPackageURLSerializer,[com.github.package-url:packageurl-java]
org.dependencytrack.notification.publisher,ConsolePublisherTest,[us.springett:alpine]
org.dependencytrack.resources.v1,NotificationRuleResource,[us.springett:alpine]
org.dependencytrack.event,BomUploadEvent,[us.springett:alpine]
org.dependencytrack.tasks,ClearComponentAnalysisCacheTask,[us.springett:alpine]
org.dependencytrack.tasks.repositories,CargoMetaAnalyzerTest,[com.github.package-url:packageurl-java]
org.dependencytrack.event,EventSubsystemInitializer,[us.springett:alpine]
org.dependencytrack.notification.publisher,MsTeamsPublisher,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.policy,PackageURLPolicyEvaluatorTest,[com.github.package-url:packageurl-java]
org.dependencytrack.parser.npm,BaseAdvisoryParser,[com.konghq:unirest-java]
org.dependencytrack.resources.v1,CweResource,[us.springett:alpine]
org.dependencytrack.search,CpeIndexer,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.event,AbstractVulnerabilityManagementUploadEvent,[us.springett:alpine]
org.dependencytrack.model,ComponentTest,"[com.github.package-url:packageurl-java,us.springett:cpe-parser]"
org.dependencytrack.tasks,MetricsUpdateTask,[us.springett:alpine]
org.dependencytrack.tasks,VulnerabilityAnalysisTask,[us.springett:alpine]
org.dependencytrack.persistence,ServiceComponentQueryManager,[us.springett:alpine]
org.dependencytrack.parser.nvd,NvdParser,"[us.springett:alpine,us.springett:cpe-parser,us.springett:cvss-calculator]"
org.dependencytrack.resources.v1,CalculatorResource,"[us.springett:alpine,us.springett:cvss-calculator]"
org.dependencytrack.persistence,QueryManager,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.integrations,IntegrationPointTest,[org.mockito:mockito-core]
org.dependencytrack.resources.v1.misc,Badger,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.resources.v1.vo,AnalysisRequest,[us.springett:alpine]
org.dependencytrack.tasks.repositories,RepositoryMetaAnalyzerTask,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.resources.v1.vo,MappedLdapGroupRequest,[us.springett:alpine]
org.dependencytrack.persistence,LicenseQueryManager,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyConditionResource,[us.springett:alpine]
org.dependencytrack.search,VulnerableSoftwareIndexer,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.tasks,NistMirrorTask,[us.springett:alpine]
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,[us.springett:alpine]
org.dependencytrack.tasks,IndexTask,[us.springett:alpine]
org.dependencytrack.resources.v1,LicenseGroupResource,[us.springett:alpine]
org.dependencytrack.integrations.kenna,KennaSecurityUploaderTest,[us.springett:alpine]
org.dependencytrack.model,Component,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.resources.v1,PolicyResourceTest,[us.springett:alpine]
org.dependencytrack.integrations,FindingPackagingFormat,"[org.json:json,us.springett:alpine]"
org.dependencytrack.resources.v1,ConfigPropertyResource,[us.springett:alpine]
org.dependencytrack.integrations.defectdojo,DefectDojoUploader,"[org.json:json,us.springett:alpine]"
org.dependencytrack.util,ComponentIdentificationUtil,"[com.github.package-url:packageurl-java,org.cyclonedx:cyclonedx-core-java]"
org.dependencytrack.resources.v1,ProjectPropertyResourceTest,[us.springett:alpine]
org.dependencytrack.search,ProjectIndexer,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.integrations.fortifyssc,FortifySscClient,"[com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.policy,CpePolicyEvaluator,[us.springett:alpine]
org.dependencytrack.resources.v1,LdapResourceTest,[us.springett:alpine]
org.dependencytrack.notification.publisher,SendMailPublisher,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.resources.v1,NotificationPublisherResource,[us.springett:alpine]
org.dependencytrack.tasks.scanners,AbstractVulnerableSoftwareAnalysisTask,[us.springett:cpe-parser]
org.dependencytrack.model,ProjectProperty,[us.springett:alpine]
org.dependencytrack.policy,CoordinatesPolicyEvaluator,"[org.json:json,us.springett:alpine]"
org.dependencytrack.resources.v1,ComponentResource,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.policy,LicenseGroupPolicyEvaluatorTest,[us.springett:alpine]
org.dependencytrack.model,Cwe,[us.springett:alpine]
org.dependencytrack.model,PolicyViolation,[us.springett:alpine]
org.dependencytrack.notification,NotificationRouter,[us.springett:alpine]
org.dependencytrack.integrations,AbstractIntegrationPoint,[us.springett:alpine]
org.dependencytrack.model,ExternalReference,"[org.cyclonedx:cyclonedx-core-java,us.springett:alpine]"
org.dependencytrack.notification.publisher,SlackPublisherTest,"[org.mock-server:mockserver-netty,us.springett:alpine]"
org.dependencytrack.persistence,CacheQueryManager,[us.springett:alpine]
org.dependencytrack.resources.v1,ComponentResourceTest,[us.springett:alpine]
org.dependencytrack.common,HttpClientPool,[us.springett:alpine]
org.dependencytrack.tasks.scanners,CacheableScanTask,[com.github.package-url:packageurl-java]
org.dependencytrack.integrations,PortfolioFindingUploaderTest,[org.mockito:mockito-core]
org.dependencytrack.upgrade,UpgradeItems,[us.springett:alpine]
org.dependencytrack.integrations.defectdojo,DefectDojoUploaderTest,[us.springett:alpine]
org.dependencytrack.resources.v1,CalculatorResourceTest,[us.springett:alpine]
org.dependencytrack.resources.v1,TeamResourceTest,[us.springett:alpine]
org.dependencytrack.resources.v1,RepositoryResource,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.tasks,KennaSecurityUploadTask,[us.springett:alpine]
org.dependencytrack.policy,LicenseGroupPolicyEvaluator,[us.springett:alpine]
org.dependencytrack.tasks.repositories,NugetMetaAnalyzer,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.resources.v1,ViolationAnalysisResource,[us.springett:alpine]
org.dependencytrack.tasks.repositories,HexMetaAnalyzerTest,[com.github.package-url:packageurl-java]
org.dependencytrack,RequirementsVerifier,[us.springett:alpine]
org.dependencytrack.persistence,DefaultObjectGeneratorTest,[us.springett:alpine]
org.dependencytrack.event,IndexEvent,[us.springett:alpine]
org.dependencytrack.event,RepositoryMetaEvent,[us.springett:alpine]
org.dependencytrack.model,License,[us.springett:alpine]
org.dependencytrack.model,ViolationAnalysisComment,[us.springett:alpine]
org.dependencytrack.search,ComponentIndexer,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.integrations.fortifyssc,FortifySscUploader,"[org.json:json,us.springett:alpine]"
org.dependencytrack.model,NotificationPublisher,[us.springett:alpine]
org.dependencytrack.persistence,PackageURLStringConverterTest,[com.github.package-url:packageurl-java]
org.dependencytrack.persistence,DefaultObjectGenerator,[us.springett:alpine]
org.dependencytrack.upgrade,UpgradeInitializer,[us.springett:alpine]
org.dependencytrack.upgrade.v400,v400Updater,[us.springett:alpine]
org.dependencytrack.util,NotificationUtil,"[com.github.package-url:packageurl-java,us.springett:alpine]"
org.dependencytrack.model,NotificationRuleTest,[us.springett:alpine]
org.dependencytrack.model,PolicyCondition,[us.springett:alpine]
org.dependencytrack.util,InternalComponentIdentificationUtil,[us.springett:alpine]
org.dependencytrack.policy,PolicyEngine,[us.springett:alpine]
org.dependencytrack.resources.v1,NotificationPublisherResourceTest,[us.springett:alpine]
org.dependencytrack.tasks.repositories,GoModulesMetaAnalyzer,"[com.github.package-url:packageurl-java,com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.model,AnalysisComment,[us.springett:alpine]
org.dependencytrack.resources.v1,NotificationRuleResourceTest,[us.springett:alpine]
org.dependencytrack.servlets,NvdMirrorServlet,[us.springett:alpine]
org.dependencytrack.tasks,VulnDbSyncTask,"[us.springett:alpine,us.springett:cpe-parser,us.springett:vulndb-data-mirror]"
org.dependencytrack.resources.v1,SearchResource,[us.springett:alpine]
org.dependencytrack.resources.v1.vo,ViolationAnalysisRequest,[us.springett:alpine]
org.dependencytrack.model,RepositoryTypeTest,[com.github.package-url:packageurl-java]
org.dependencytrack.persistence,MetricsQueryManager,[us.springett:alpine]
org.dependencytrack.resources.v1,SearchResourceTest,[us.springett:alpine]
org.dependencytrack.event,NistMirrorEvent,[us.springett:alpine]
org.dependencytrack.model,Repository,[us.springett:alpine]
org.dependencytrack.persistence,NotificationQueryManager,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceUnauthenticatedTest,[us.springett:alpine]
