packageName,className,apis
proj.zoie.impl.indexing.internal,DiskSearchIndex,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,RAMSearchIndex,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.tools.luke,ZoiePlugin,"[com.senseidb.zoie:zoie-core,it.unimi.dsi:fastutil,org.apache.lucene:lucene-core]"
proj.zoie.api.indexing,IndexReaderDecorator,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing,MemoryStreamDataProvider,[log4j:log4j]
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,DefaultIndexReaderDecorator,[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,MemoryManager,[log4j:log4j]
proj.zoie.perf.indexing,TweetInterpreter,"[com.senseidb.zoie:zoie-core,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,SearchIndexManager,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.store,LuceneStore,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,RAMIndexFactory,[org.apache.lucene:lucene-core]
proj.zoie.dataprovider.jms,JMSStreamDataProvider,"[com.senseidb.zoie:zoie-core,log4j:log4j]"
proj.zoie.impl.indexing,AsyncDataConsumer,[log4j:log4j]
proj.zoie.api,DefaultDirectoryManager,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,AbstractIndexReaderDecorator,[org.apache.lucene:lucene-core]
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,"[com.senseidb.zoie:zoie-core,junit:junit,org.mockito:mockito-all]"
proj.zoie.perf.client,StoreQueryHandler,"[com.senseidb.zoie:zoie-core,it.unimi.dsi:fastutil,org.json:json]"
proj.zoie.impl.indexing.internal,IndexReaderDispenser,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,IndexSignature,[log4j:log4j]
proj.zoie.test,ZoieTestCaseBase,"[junit:junit,log4j:log4j,org.apache.lucene:lucene-core]"
