packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
proj.zoie.impl.indexing,ZoieSystem,org.apache.lucene:lucene-analyzers-common,null,null,2,105,0.02
proj.zoie.impl.indexing,ZoieSystem,log4j:log4j,null,null,45,105,0.43
proj.zoie.impl.indexing,ZoieSystem,org.apache.lucene:lucene-core,null,null,58,105,0.55
proj.zoie.impl.indexing.internal,RAMLuceneIndexDataLoader,it.unimi.dsi:fastutil,null,null,5,10,0.5
proj.zoie.impl.indexing.internal,RAMLuceneIndexDataLoader,org.apache.lucene:lucene-core,null,null,5,10,0.5
proj.zoie.api,UIDDocIdSet,it.unimi.dsi:fastutil,null,null,6,11,0.55
proj.zoie.api,UIDDocIdSet,org.apache.lucene:lucene-core,null,null,5,11,0.45
proj.zoie.server,ZoieServer,org.mortbay.jetty:jetty-util,null,null,15,86,0.17
proj.zoie.server,ZoieServer,org.mortbay.jetty:jetty,null,null,30,86,0.35
proj.zoie.server,ZoieServer,log4j:log4j,null,null,41,86,0.48
proj.zoie.impl.indexing,NoopReaderCache,org.apache.lucene:lucene-core,null,null,2,7,0.29
proj.zoie.impl.indexing,NoopReaderCache,log4j:log4j,null,null,5,7,0.71
proj.zoie.perf.client,SearchQueryHandler,com.senseidb.zoie:zoie-core,null,null,9,35,0.26
proj.zoie.perf.client,SearchQueryHandler,org.apache.lucene:lucene-core,null,null,26,35,0.74
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,org.apache.lucene:lucene-queryparser,null,null,4,122,0.03
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,log4j:log4j,null,null,7,122,0.06
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,org.apache.lucene:lucene-core,null,null,56,122,0.46
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,com.senseidb.zoie:zoie-core,null,null,45,122,0.37
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,org.apache.lucene:lucene-highlighter,null,null,10,122,0.08
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,org.apache.lucene:lucene-core,null,null,31,31,1.0
proj.zoie.perf.tools,IndexReplicator,com.senseidb.zoie:zoie-core,null,null,10,51,0.2
proj.zoie.perf.tools,IndexReplicator,org.apache.lucene:lucene-analyzers-common,null,null,1,51,0.02
proj.zoie.perf.tools,IndexReplicator,org.apache.lucene:lucene-core,null,null,40,51,0.78
proj.zoie.hourglass.impl,Hourglass,log4j:log4j,null,null,43,57,0.75
proj.zoie.hourglass.impl,Hourglass,org.apache.lucene:lucene-core,null,null,14,57,0.25
proj.zoie.test,ZoieStoreTestCase,junit:junit,null,null,20,23,0.87
proj.zoie.test,ZoieStoreTestCase,org.apache.lucene:lucene-core,null,null,3,23,0.13
proj.zoie.test,ZoieThreadTest,org.apache.lucene:lucene-queryparser,null,null,8,188,0.04
proj.zoie.test,ZoieThreadTest,junit:junit,null,null,4,188,0.02
proj.zoie.test,ZoieThreadTest,org.apache.lucene:lucene-core,null,null,159,188,0.85
proj.zoie.test,ZoieThreadTest,log4j:log4j,null,null,17,188,0.09
proj.zoie.api.indexing,ZoieIndexable,org.apache.lucene:lucene-core,null,null,14,14,1.0
proj.zoie.api,UIDFilter,org.apache.lucene:lucene-core,null,null,10,10,1.0
proj.zoie.impl.indexing,SimpleReaderCache,log4j:log4j,null,null,5,7,0.71
proj.zoie.impl.indexing,SimpleReaderCache,org.apache.lucene:lucene-core,null,null,2,7,0.29
proj.zoie.store,AbstractZoieStore,it.unimi.dsi:fastutil,null,null,10,19,0.53
proj.zoie.store,AbstractZoieStore,org.apache.lucene:lucene-core,null,null,4,19,0.21
proj.zoie.store,AbstractZoieStore,log4j:log4j,null,null,5,19,0.26
proj.zoie.api,DataDoc,org.apache.lucene:lucene-core,null,null,5,5,1.0
proj.zoie.hourglass.impl,Box,org.apache.lucene:lucene-core,null,null,3,16,0.19
proj.zoie.hourglass.impl,Box,log4j:log4j,null,null,13,16,0.81
proj.zoie.impl.indexing.internal,DefaultRAMIndexFactory,org.apache.lucene:lucene-core,null,null,2,2,1.0
proj.zoie.hourglass.impl,HourglassReaderManager,log4j:log4j,null,null,87,129,0.67
proj.zoie.hourglass.impl,HourglassReaderManager,org.apache.lucene:lucene-core,null,null,42,129,0.33
proj.zoie.impl.indexing,ZoieConfig,org.apache.lucene:lucene-core,null,null,17,18,0.94
proj.zoie.impl.indexing,ZoieConfig,org.apache.lucene:lucene-analyzers-common,null,null,1,18,0.06
proj.zoie.api.impl,ZoieMergePolicy,org.apache.lucene:lucene-core,null,null,190,224,0.85
proj.zoie.api.impl,ZoieMergePolicy,log4j:log4j,null,null,34,224,0.15
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,log4j:log4j,null,null,21,73,0.29
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,it.unimi.dsi:fastutil,null,null,19,73,0.26
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,org.apache.lucene:lucene-core,null,null,33,73,0.45
proj.zoie.api,ZoieSegmentReader,it.unimi.dsi:fastutil,null,null,20,83,0.24
proj.zoie.api,ZoieSegmentReader,org.apache.lucene:lucene-core,null,null,63,83,0.76
proj.zoie.impl.indexing.internal,DiskSearchIndex,it.unimi.dsi:fastutil,null,null,3,62,0.05
proj.zoie.impl.indexing.internal,DiskSearchIndex,log4j:log4j,null,null,7,62,0.11
proj.zoie.impl.indexing.internal,DiskSearchIndex,org.apache.lucene:lucene-core,null,null,52,62,0.84
proj.zoie.impl.indexing.internal,RAMSearchIndex,log4j:log4j,null,null,5,68,0.07
proj.zoie.impl.indexing.internal,RAMSearchIndex,org.apache.lucene:lucene-core,null,null,60,68,0.88
proj.zoie.impl.indexing.internal,RAMSearchIndex,it.unimi.dsi:fastutil,null,null,3,68,0.04
proj.zoie.tools.luke,ZoiePlugin,com.senseidb.zoie:zoie-core,null,null,3,17,0.18
proj.zoie.tools.luke,ZoiePlugin,org.apache.lucene:lucene-core,null,null,2,17,0.12
proj.zoie.tools.luke,ZoiePlugin,it.unimi.dsi:fastutil,null,null,12,17,0.71
proj.zoie.api.indexing,IndexReaderDecorator,org.apache.lucene:lucene-core,null,null,1,1,1.0
proj.zoie.impl.indexing,MemoryStreamDataProvider,log4j:log4j,null,null,13,13,1.0
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,org.apache.lucene:lucene-core,null,null,17,48,0.35
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,log4j:log4j,null,null,31,48,0.65
proj.zoie.impl.indexing,DefaultIndexReaderDecorator,org.apache.lucene:lucene-core,null,null,8,8,1.0
proj.zoie.api.impl.util,MemoryManager,log4j:log4j,null,null,7,7,1.0
proj.zoie.perf.indexing,TweetInterpreter,com.senseidb.zoie:zoie-core,null,null,7,17,0.41
proj.zoie.perf.indexing,TweetInterpreter,org.apache.lucene:lucene-core,null,null,10,17,0.59
proj.zoie.impl.indexing.internal,SearchIndexManager,org.apache.lucene:lucene-core,null,null,3,24,0.13
proj.zoie.impl.indexing.internal,SearchIndexManager,log4j:log4j,null,null,21,24,0.88
proj.zoie.store,LuceneStore,log4j:log4j,null,null,5,125,0.04
proj.zoie.store,LuceneStore,it.unimi.dsi:fastutil,null,null,11,125,0.09
proj.zoie.store,LuceneStore,org.apache.lucene:lucene-analyzers-common,null,null,1,125,0.01
proj.zoie.store,LuceneStore,org.apache.lucene:lucene-core,null,null,108,125,0.86
proj.zoie.impl.indexing.internal,RAMIndexFactory,org.apache.lucene:lucene-core,null,null,1,1,1.0
proj.zoie.dataprovider.jms,JMSStreamDataProvider,log4j:log4j,null,null,17,21,0.81
proj.zoie.dataprovider.jms,JMSStreamDataProvider,com.senseidb.zoie:zoie-core,null,null,4,21,0.19
proj.zoie.impl.indexing,AsyncDataConsumer,log4j:log4j,null,null,25,25,1.0
proj.zoie.api,DefaultDirectoryManager,log4j:log4j,null,null,17,28,0.61
proj.zoie.api,DefaultDirectoryManager,org.apache.lucene:lucene-core,null,null,11,28,0.39
proj.zoie.impl.indexing,AbstractIndexReaderDecorator,org.apache.lucene:lucene-core,null,null,1,1,1.0
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,junit:junit,null,null,6,48,0.13
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,org.mockito:mockito-all,null,null,12,48,0.25
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,com.senseidb.zoie:zoie-core,null,null,30,48,0.63
proj.zoie.perf.client,StoreQueryHandler,org.json:json,null,null,4,20,0.2
proj.zoie.perf.client,StoreQueryHandler,it.unimi.dsi:fastutil,null,null,8,20,0.4
proj.zoie.perf.client,StoreQueryHandler,com.senseidb.zoie:zoie-core,null,null,8,20,0.4
proj.zoie.impl.indexing.internal,IndexReaderDispenser,log4j:log4j,null,null,21,34,0.62
proj.zoie.impl.indexing.internal,IndexReaderDispenser,org.apache.lucene:lucene-core,null,null,13,34,0.38
proj.zoie.impl.indexing.internal,IndexSignature,log4j:log4j,null,null,7,7,1.0
proj.zoie.test,ZoieTestCaseBase,log4j:log4j,null,null,24,45,0.53
proj.zoie.test,ZoieTestCaseBase,junit:junit,null,null,2,45,0.04
proj.zoie.test,ZoieTestCaseBase,org.apache.lucene:lucene-core,null,null,19,45,0.42
