packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.aksw.palmetto.webapp,PalmettoApplication,commons-configuration:commons-configuration,null,null,1,34,0.03
org.aksw.palmetto.webapp,PalmettoApplication,org.slf4j:slf4j-api,null,null,19,34,0.56
org.aksw.palmetto.prob,AbstractBooleanDocumentSupportingAdapterBasedTest,com.carrotsearch:hppc,null,null,30,30,1.0
org.aksw.palmetto.sum,ArithmeticMeanTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.vector,DifferenceCalculationBasedCreatorTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,com.carrotsearch:hppc,null,null,67,67,1.0
org.aksw.palmetto.prob.window,ContextWindowFrequencyDeterminer,com.carrotsearch:hppc,null,null,14,14,1.0
org.aksw.palmetto.calculations.direct,LikelihoodCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,org.apache.lucene:lucene-core,null,null,1,30,0.03
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,commons-io:commons-io,null,null,2,30,0.07
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,com.carrotsearch:hppc,null,null,14,30,0.47
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreatorTest,junit:junit,null,null,13,30,0.43
org.aksw.palmetto.calculations.indirect,VectorCreationTest,junit:junit,null,null,6,6,1.0
org.aksw.palmetto.vector,RatioCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.subsets,AnyAny,com.carrotsearch:hppc,null,null,10,10,1.0
org.aksw.palmetto.corpus.lucene.creation,AbstractLuceneIndexCreator,org.apache.lucene:lucene-core,null,null,21,21,1.0
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecorator,com.google.guava:guava,null,null,10,10,1.0
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.sum,QuadraticMeanTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.subsets,OneOneAndSelf,com.carrotsearch:hppc,null,null,7,7,1.0
org.aksw.palmetto.vector,LikelihoodCalculationBasedCreatorTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.subsets,OneAnyTest,junit:junit,null,null,4,4,1.0
org.aksw.palmetto.aggregation,Median,com.carrotsearch:hppc,null,null,8,8,1.0
org.aksw.palmetto.prob.bd,ListBasedBooleanDocumentFrequencyDeterminer,com.carrotsearch:hppc,null,null,31,31,1.0
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.calculations.indirect,DiceBasedCoherenceTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.evaluate.correlation,SpearmanTest,junit:junit,null,null,6,6,1.0
org.aksw.palmetto.subsets,OneSubsequentTest,junit:junit,null,null,1,1,1.0
org.aksw.palmetto.calculations.direct,RatioCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighterTest,junit:junit,null,null,6,6,1.0
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreator,org.apache.lucene:lucene-core,null,null,36,47,0.77
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreator,org.slf4j:slf4j-api,null,null,11,47,0.23
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,junit:junit,null,null,6,27,0.22
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,com.carrotsearch:hppc,null,null,21,27,0.78
org.aksw.palmetto.webapp.config,RootConfig,commons-configuration:commons-configuration,null,null,6,21,0.29
org.aksw.palmetto.webapp.config,RootConfig,org.slf4j:slf4j-api,null,null,15,21,0.71
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreator,org.apache.lucene:lucene-core,null,null,51,60,0.85
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreator,org.slf4j:slf4j-api,null,null,9,60,0.15
org.aksw.palmetto.subsets,AbstractSegmentatorTest,com.carrotsearch:hppc,null,null,48,56,0.86
org.aksw.palmetto.subsets,AbstractSegmentatorTest,junit:junit,null,null,8,56,0.14
org.aksw.palmetto.calculations.direct,LogJaccardCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.calculations.indirect,DiceBasedCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.calculations.direct,LogLikelihoodCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.corpus.lucene,SlidingWindowCounter,com.carrotsearch:hppc,null,null,1,1,1.0
org.aksw.palmetto.webapp,PerformanceTest,commons-io:commons-io,null,null,2,2,1.0
org.aksw.palmetto.sum,GeometricMeanTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.evaluate.correlation,KendallsTauTest,junit:junit,null,null,6,6,1.0
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,com.carrotsearch:hppc,null,null,20,20,1.0
org.aksw.palmetto.calculations.indirect,CosinusBasedCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.sum,MinTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,com.carrotsearch:hppc,null,null,7,13,0.54
org.aksw.palmetto.prob.bd,BooleanDocumentFrequencyDeterminerPerformanceTest,junit:junit,null,null,6,13,0.46
org.aksw.palmetto.webapp,DfClient,org.springframework:spring-test,null,null,2,42,0.05
org.aksw.palmetto.webapp,DfClient,junit:junit,null,null,39,42,0.93
org.aksw.palmetto.webapp,DfClient,commons-io:commons-io,null,null,1,42,0.02
org.aksw.palmetto.calculations.direct,CondProbCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.calculations.direct,JaccardCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.calculations.indirect,AbstractVectorBasedCoherenceTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.vector,LogJaccardCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.subsets,OneAll,com.carrotsearch:hppc,null,null,7,7,1.0
org.aksw.palmetto.sum,MedianTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.vector,LogRatioCalculationBasedCreatorTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.calculations.direct,ShogenjisCoherenceCalculationTest,junit:junit,null,null,3,3,1.0
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,org.slf4j:slf4j-api,null,null,11,109,0.1
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,com.carrotsearch:hppc,null,null,28,109,0.26
org.aksw.palmetto.corpus.lucene,LuceneCorpusAdapter,org.apache.lucene:lucene-core,null,null,70,109,0.64
org.aksw.palmetto.io,SimpleDocumentTextSupplier,org.slf4j:slf4j-api,null,null,5,5,1.0
