packageName,className,api,mcrCategories,mcrTags,count,countAll,proportion
org.apdplat.word.elasticsearch,ChineseWordPlugin,org.apache.lucene:lucene-core,null,null,1,17,0.06
org.apdplat.word.analysis,JaroDistanceTextSimilarity,org.slf4j:slf4j-api,null,null,8,8,1.0
org.apdplat.word.recognition,PunctuationTest,junit:junit,null,null,22,22,1.0
org.apdplat.word.segmentation.impl,ReverseMinimumMatchingTest,junit:junit,null,null,2,2,1.0
org.apdplat.word.analysis,EuclideanDistanceTextSimilarity,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.analysis,TextSimilarity,org.slf4j:slf4j-api,null,null,45,45,1.0
org.apdplat.word.tagging,PinyinTagging,org.slf4j:slf4j-api,null,null,5,22,0.23
org.apdplat.word.tagging,PinyinTagging,com.belerweb:pinyin4j,null,null,17,22,0.77
org.apdplat.word.dictionary.impl,DictionaryTrieTest,junit:junit,null,null,26,26,1.0
org.apdplat.word.segmentation,SegmentationFactory,org.slf4j:slf4j-api,null,null,7,7,1.0
org.apdplat.word.analysis,ManhattanDistanceTextSimilarity,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.tagging,AntonymTagging,org.slf4j:slf4j-api,null,null,43,43,1.0
org.apdplat.word.dictionary.impl,DictionaryTrie,org.slf4j:slf4j-api,null,null,57,57,1.0
org.apdplat.word.segmentation.impl,MaximumMatchingTest,junit:junit,null,null,2,2,1.0
org.apdplat.word.segmentation.impl,BidirectionalMinimumMatching,org.slf4j:slf4j-api,null,null,12,12,1.0
org.apdplat.word.segmentation.impl,MinimalWordCount,org.slf4j:slf4j-api,null,null,12,12,1.0
org.apdplat.word.dictionary,DictionaryTools,org.slf4j:slf4j-api,null,null,13,13,1.0
org.apdplat.word.vector,Word2Vector,org.slf4j:slf4j-api,null,null,31,31,1.0
org.apdplat.word,WordSegmenter,org.slf4j:slf4j-api,null,null,45,45,1.0
org.apdplat.word.lucene,ChineseWordAnalyzerTest,junit:junit,null,null,14,114,0.12
org.apdplat.word.lucene,ChineseWordAnalyzerTest,org.apache.lucene:lucene-queryparser,null,null,6,114,0.05
org.apdplat.word.lucene,ChineseWordAnalyzerTest,org.apache.lucene:lucene-core,null,null,94,114,0.82
