packageName,className,methodName,apis
com.stratio.cassandra.lucene.search.condition,GeoBBoxConditionTest,testBuildTooLargeMaxLatitude,[junit:junit]
com.stratio.cassandra.lucene.testsAT.geospatial,GeoShapeSearchOverGeoShapesIT,testIsWithinPoint10,[junit:junit]
com.stratio.cassandra.lucene.testsAT.search,MatchSearchIT,testMatchBlobField3,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,MatchSearchIT,testMatchUUIDField2,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,RangeSearchIT,testRangeFloatField5,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,RangeSearchIT,testRangeInetField4,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,SortedSearchIT,testSortWithQuery,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.type_validation.single_column_valid_types,GeoShapeMapperValidTypesIndexCreationIT,"","[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.varia,BoundStatementWithSortedKQueryIT,testSortWithGeoDistanceFilterReversed,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,FloatMapperTest,testValueShort,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,GeoPointMapperTest,testGetLatitudeWithNullColumn,[junit:junit]
com.stratio.cassandra.lucene.search.condition,ContainsConditionTest,testBuildDefaults,[junit:junit]
com.stratio.cassandra.lucene.search.condition,GeoDistanceConditionTest,testConstructorWithTooSmallLatitude,[junit:junit]
com.stratio.cassandra.lucene.search.sort,GeoDistanceSortFieldTest,testEqualsWithNull,[junit:junit]
com.stratio.cassandra.lucene.testsAT.search,FuzzySearchIT,testFuzzyListField4,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,MatchSearchIT,testMatchBigintField3,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,MatchSearchIT,testMatchFloatField1,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,WildcardSearchIT,testWildcardVarcharField2,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.udt,TupleIndexingIT,testSearchTuple1,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.udt,UDTIndexingIT,testUDTMap,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.schema.mapping,FloatMapperTest,testConstructorWithoutArgs,[junit:junit]
com.stratio.cassandra.lucene.schema.mapping,Mapper,"",[org.apache.lucene:lucene-core]
com.stratio.cassandra.lucene.search.condition,GeoDistanceConditionTest,testConstructorWithoutDistances,[junit:junit]
com.stratio.cassandra.lucene.search.condition,MatchConditionTest,testJsonSerializationString,[junit:junit]
com.stratio.cassandra.lucene.search.condition,WildcardConditionTest,testJsonSerializationDefaults,[junit:junit]
com.stratio.cassandra.lucene.testsAT.search,BitemporalSearchIT,testBitemporalQueryWithNowValueTooLong,"[com.datastax.cassandra:cassandra-driver-core,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,FuzzySearchIT,testFuzzyEmptyAsciiField,"[com.datastax.cassandra:cassandra-driver-core,com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
com.stratio.cassandra.lucene.testsAT.search,RangeSearchIT,testRangeTextField1,"[com.stratio.cassandra:cassandra-lucene-index-builder,junit:junit]"
