packageName,className,methodName,apis
org.aksw.palmetto.corpus,BooleanDocumentSupportingAdapter,getDocumentsWithWordsAsSet,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,DifferenceBasedCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminer,createCounts,[com.carrotsearch:hppc]
org.aksw.palmetto.subsets,OneAny,getSubsetDefinitionWithoutRestrictions,[com.carrotsearch:hppc]
org.aksw.palmetto.sum,GeometricMeanTest,data,[junit:junit]
org.aksw.palmetto.calculations.direct,OlssonsCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.calculations.indirect,DiceBasedCoherenceTest,"",[junit:junit]
org.aksw.palmetto.evaluate.correlation,SpearmanTest,"",[junit:junit]
org.aksw.palmetto.calculations.indirect,CentroidConfirmationMeasure,calculateConfirmationValues,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.bd,ListBasedBooleanDocumentFrequencyDeterminer,determineCounts,[com.carrotsearch:hppc]
org.aksw.palmetto.prob.window,AbstractWindowBasedFrequencyDeterminer,addCountsFromDocument,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,RatioCoherenceCalculationTest,"",[junit:junit]
org.aksw.palmetto.weight,CompleteProbabilityBasedWeighterTest,"",[junit:junit]
org.aksw.palmetto.calculations.indirect,JaccardBasedCalculationTest,data,[junit:junit]
org.aksw.palmetto.corpus.lucene.creation,AbstractLuceneIndexCreator,addDocumentLength,[org.apache.lucene:lucene-core]
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,data,[junit:junit]
org.aksw.palmetto.subsets,OneOneAndSelfTest,testWordSetLength4,[junit:junit]
org.aksw.palmetto.evaluate.correlation,PearsonsSampleCorrelationCoefficientTest,test,[junit:junit]
org.aksw.palmetto.subsets,OneSucceeding,getSubsetDefinition,[com.carrotsearch:hppc]
org.aksw.palmetto.calculations.direct,LogCondProbCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.corpus.lucene.creation,SimpleLuceneIndexCreator,"",[org.slf4j:slf4j-api]
org.aksw.palmetto.prob.bd,BitSetBasedBooleanDocumentFrequencyDeterminerTest,data,[junit:junit]
org.aksw.palmetto.prob.decorator,FrequencyCachingDeterminerDecoratorTest,determineCounts,[junit:junit]
org.aksw.palmetto.prob,BooleanSlidingWindowProbabilitySupplierTest,"",[junit:junit]
org.aksw.palmetto.webapp.config,RootConfig,"",[org.slf4j:slf4j-api]
org.aksw.palmetto.calculations.direct,AbstractProbabilityBasedCalculationTest,test,[junit:junit]
org.aksw.palmetto.corpus.lucene.creation,PositionStoringLuceneIndexCreator,"",[org.slf4j:slf4j-api]
org.aksw.palmetto.webapp.config,RootConfig,createLuceneAdapter,"[commons-configuration:commons-configuration,org.slf4j:slf4j-api]"
org.aksw.palmetto.prob,ListBasedBooleanDocumentFrequencyDeterminerTest,data,[junit:junit]
org.aksw.palmetto.sum,HarmonicMeanTest,data,[junit:junit]
org.aksw.palmetto.webapp.config,RootConfig,createCPCoherence,"[commons-configuration:commons-configuration,org.slf4j:slf4j-api]"
org.aksw.palmetto.calculations.direct,LikelihoodCoherenceCalculationTest,data,[junit:junit]
org.aksw.palmetto.calculations.direct,LogJaccardCoherenceCalculationTest,data,[junit:junit]
