packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
org.apdplat.word.segmentation,SegmentationFactory,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.dictionary,DictionaryFactory,test,org.slf4j:slf4j-api,null,null,4,4,1.0
org.apdplat.word.lucene,ChineseWordAnalyzerTest,test2,org.apache.lucene:lucene-core,null,null,15,18,0.83
org.apdplat.word.lucene,ChineseWordAnalyzerTest,test2,junit:junit,null,null,3,18,0.17
org.apdplat.word.util,TrieTest,test,org.slf4j:slf4j-api,null,null,4,4,1.0
org.apdplat.word.vector,Distance,compute,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.util,GenericTrie,remove,org.slf4j:slf4j-api,null,null,20,20,1.0
org.apdplat.word.util,GenericTrieTest,tearDown,junit:junit,null,null,1,1,1.0
org.apdplat.word.dictionary.impl,DictionaryTrieTest,testContains,junit:junit,null,null,12,12,1.0
org.apdplat.word.recognition,StopWord,reload,org.slf4j:slf4j-api,null,null,4,4,1.0
org.apdplat.word.analysis,TextSimilarityTest,testSimple,junit:junit,null,null,1,1,1.0
org.apdplat.word.util,AutoDetector,"",org.slf4j:slf4j-api,null,null,27,28,0.96
org.apdplat.word.util,AutoDetector,"",redis.clients:jedis,null,null,1,28,0.04
org.apdplat.word.solr,ChineseWordTokenizerFactory,create,org.apache.lucene:lucene-core,null,null,2,2,1.0
org.apdplat.word.tagging,AntonymTagging,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.segmentation.impl,FullSegmentation,fullSeg,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.corpus,Bigram,getScore,org.slf4j:slf4j-api,null,null,4,4,1.0
org.apdplat.word.segmentation,WordRefiner,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.segmentation.impl,MaximumMatchingTest,testSeg,junit:junit,null,null,2,2,1.0
org.apdplat.word.corpus,CorpusMerge,merge,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.dictionary.impl,DictionaryTrie,"",org.slf4j:slf4j-api,null,null,5,5,1.0
org.apdplat.word.segmentation,WordRefiner,reload,org.slf4j:slf4j-api,null,null,10,10,1.0
org.apdplat.word.segmentation.impl,MaxNgramScore,dumpShortestPath,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.segmentation.impl,MaxNgramScore,dumpDAG,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.analysis,TextSimilarity,taggingWeightWithWordFrequency,org.slf4j:slf4j-api,null,null,10,10,1.0
org.apdplat.word.recognition,RecognitionTool,main,org.slf4j:slf4j-api,null,null,2,2,1.0
org.apdplat.word.segmentation.impl,BidirectionalMinimumMatching,segImpl,org.slf4j:slf4j-api,null,null,12,12,1.0
org.apdplat.word.util,AutoDetector,loadAndWatchDir,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.util,AutoDetector,watchHttp,org.slf4j:slf4j-api,null,null,10,21,0.48
org.apdplat.word.util,AutoDetector,watchHttp,redis.clients:jedis,null,null,11,21,0.52
org.apdplat.word.util,GenericTrieTest,setUp,junit:junit,null,null,1,1,1.0
org.apdplat.word.util,WordConfTools,reload,org.slf4j:slf4j-api,null,null,8,8,1.0
org.apdplat.word.vector,Distance,parseModel,org.slf4j:slf4j-api,null,null,6,6,1.0
org.apdplat.word.util,WordConfTools,getBoolean,org.slf4j:slf4j-api,null,null,4,4,1.0
org.apdplat.word.analysis,EditDistanceTextSimilarity,scoreImpl,org.slf4j:slf4j-api,null,null,12,12,1.0
org.apdplat.word.recognition,StopWord,filterStopWords,org.slf4j:slf4j-api,null,null,4,4,1.0
org.apdplat.word.corpus,CorpusTools,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.recognition,PersonName,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.dictionary,DictionaryTools,removePhraseFromDic,org.slf4j:slf4j-api,null,null,4,4,1.0
org.apdplat.word.tagging,SynonymTagging,process,org.slf4j:slf4j-api,null,null,16,16,1.0
org.apdplat.word.elasticsearch,ChineseWordTokenizerFactory,create,org.apache.lucene:lucene-core,null,null,1,1,1.0
org.apdplat.word,WordSegmenter,showUsage,org.slf4j:slf4j-api,null,null,22,22,1.0
org.apdplat.word.analysis,SentenceIdentify,"",org.slf4j:slf4j-api,null,null,5,5,1.0
org.apdplat.word.recognition,Quantifier,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.corpus,Bigram,reload,org.slf4j:slf4j-api,null,null,8,8,1.0
org.apdplat.word,WordSegmenter,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.recognition,RecognitionToolTest,testIsNumber,junit:junit,null,null,3,3,1.0
org.apdplat.word.lucene,ChineseWordTokenizer,getToken,org.apache.lucene:lucene-core,null,null,4,8,0.5
org.apdplat.word.lucene,ChineseWordTokenizer,getToken,org.slf4j:slf4j-api,null,null,4,8,0.5
org.apdplat.word.util,DirectoryWatcher,watch,org.slf4j:slf4j-api,null,null,24,24,1.0
org.apdplat.word.util,DoubleArrayGenericTrie,toTree,org.slf4j:slf4j-api,null,null,10,10,1.0
org.apdplat.word,WordSegmenter,processCommand,org.slf4j:slf4j-api,null,null,10,10,1.0
org.apdplat.word.analysis,TextSimilarity,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.tagging,PartOfSpeechTagging,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.util,GenericTrieTest,testBigram,junit:junit,null,null,3,3,1.0
org.apdplat.word.util,WordConfTools,get,org.slf4j:slf4j-api,null,null,8,8,1.0
org.apdplat.word,WordFrequencyStatistics,dump,org.slf4j:slf4j-api,null,null,8,8,1.0
org.apdplat.word.recognition,PersonName,recognizePersonName,org.slf4j:slf4j-api,null,null,4,4,1.0
org.apdplat.word.recognition,Punctuation,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.analysis,TextSimilarity,similarScore,org.slf4j:slf4j-api,null,null,28,28,1.0
org.apdplat.word.segmentation.impl,AbstractSegmentation,"",org.slf4j:slf4j-api,null,null,3,3,1.0
org.apdplat.word.analysis,TextSimilarity,setSegmentationAlgorithm,org.slf4j:slf4j-api,null,null,2,2,1.0
org.apdplat.word.dictionary.impl,DoubleArrayDictionaryTrieTest,testRemove,junit:junit,null,null,3,3,1.0
org.apdplat.word.lucene,ChineseWordTokenizer,"",org.slf4j:slf4j-api,null,null,3,13,0.23
org.apdplat.word.lucene,ChineseWordTokenizer,"",org.apache.lucene:lucene-core,null,null,10,13,0.77
org.apdplat.word.elasticsearch,ChineseWordAnalyzerProvider,"",org.elasticsearch:elasticsearch,null,null,6,9,0.67
org.apdplat.word.elasticsearch,ChineseWordAnalyzerProvider,"",org.slf4j:slf4j-api,null,null,3,9,0.33
org.apdplat.word.util,WordConfTools,checkSystemProperties,org.slf4j:slf4j-api,null,null,2,2,1.0
org.apdplat.word.util,GenericTrieTest,testClear,junit:junit,null,null,5,5,1.0
org.apdplat.word.lucene,ChineseWordAnalyzer,main,org.apache.lucene:lucene-core,null,null,85,91,0.93
