packageName,className,methodName,apis
proj.zoie.hourglass.impl,Hourglass,loadArchives,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,ZoieSystem,start,[log4j:log4j]
proj.zoie.impl.indexing.internal,DelegateIndexDataConsumer,"",[log4j:log4j]
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,consume,"[it.unimi.dsi:fastutil,log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test,HourglassTest,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test,ZoieThreadTest,testDelBigSet,"[junit:junit,log4j:log4j]"
proj.zoie.test,ZoieTest,testRealtime2,"[junit:junit,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,IntSetAccelerator,toArray,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing.internal,SearchIndexManager,purgeIndex,[log4j:log4j]
proj.zoie.impl.indexing.internal,ZoieIndexDeletionPolicy,getSnapshot,[org.apache.lucene:lucene-core]
proj.zoie.test.data,InRangeDataInterpreterForTests,"",[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,RAMSearchIndex,refresh,[it.unimi.dsi:fastutil]
proj.zoie.api.impl,ZoieMergePolicy,setNumLargeSegments,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.api.impl.util,IntSetAccelerator,retainAll,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing,DefaultIndexReaderDecorator,decorate,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,fireNewVersionEvent,[log4j:log4j]
proj.zoie.api,ZoieSegmentReader,markDeletes,[it.unimi.dsi:fastutil]
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,getArchivedVersion,[log4j:log4j]
proj.zoie.perf.indexing,LinedFileDataProvider,start,[com.senseidb.zoie:zoie-core]
proj.zoie.api.impl.util,IntSetAccelerator,isEmpty,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing,AsyncDataConsumer,consume,[log4j:log4j]
proj.zoie.api,ZoieMultiReader,getStoredValue,[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,IntSetAccelerator,"",[it.unimi.dsi:fastutil]
proj.zoie.hourglass.impl,HourglassReaderManager,shutdown,[log4j:log4j]
proj.zoie.hourglass.impl,Box,shutdown,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,SmartReaderCache,newMaintenanceThread,[log4j:log4j]
proj.zoie.tools.luke,ZoiePlugin,toUID,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing.internal,RealtimeIndexDataLoader,processBatch,[log4j:log4j]
proj.zoie.api.impl.util,LongSetAccelerator,isEmpty,[it.unimi.dsi:fastutil]
proj.zoie.impl.indexing,ZoieConfig,getSimilarity,[org.apache.lucene:lucene-core]
proj.zoie.store,LuceneStore,mapDocId,[it.unimi.dsi:fastutil]
proj.zoie.test,ZoieTest,testIndexWithAnalyzer,"[junit:junit,org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,consume,[log4j:log4j]
proj.zoie.store,AbstractZoieStore,put,[it.unimi.dsi:fastutil]
proj.zoie.hourglass.impl,HourglassListener,"",[org.apache.lucene:lucene-core]
proj.zoie.hourglass.impl,HourglassDirectoryManagerFactory,getAllArchivedDirectories,"[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.impl.indexing,ZoieSystem,purgeIndex,[log4j:log4j]
proj.zoie.dataprovider.jms,JMSStreamDataProvider,setStartingOffset,[log4j:log4j]
proj.zoie.hourglass.impl,HourGlassScheduler,"",[log4j:log4j]
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,testExceptionRecovery,"[com.senseidb.zoie:zoie-core,junit:junit,org.mockito:mockito-all]"
proj.zoie.impl.indexing,SmartReaderCache,"","[log4j:log4j,org.apache.lucene:lucene-core]"
proj.zoie.test,ZoieTest,countHits,[org.apache.lucene:lucene-core]
proj.zoie.impl.indexing.internal,LuceneIndexDataLoader,setPurgeFilter,[org.apache.lucene:lucene-core]
proj.zoie.api,DefaultDirectoryManager,saveSignature,[log4j:log4j]
proj.zoie.api.impl,ZoieMergePolicy,size,[org.apache.lucene:lucene-core]
proj.zoie.api.impl,ZoieMergePolicy,findMerges,[org.apache.lucene:lucene-core]
proj.zoie.api.impl.util,IntSetAccelerator,intIterator,[it.unimi.dsi:fastutil]
proj.zoie.store,ZoieStoreConsumer,"",[log4j:log4j]
proj.zoie.api.impl.util,MemoryManager,release,[log4j:log4j]
proj.zoie.impl.indexing,NoopReaderCache,getIndexReaders,[log4j:log4j]
proj.zoie.test.data,InRangeDataInterpreterForTests,interpret,[org.apache.lucene:lucene-core]
