packageName,className,methodName,apis
null,TripleIndexTest,testRdfsLabel,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.webapp,GetDisambiguation,"",[org.slf4j:slf4j-api]
null,AGDISTISTest,testContext,[junit:junit]
null,TripleIndexTest,testdirectLink,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreatorContext,updateIndex,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreatorContext,addDocumentToIndex,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
null,AGDISTISTest,testinterpunctation,[junit:junit]
org.aksw.agdistis.graph,BreadthFirstSearch,run,[net.sf.jung:jung-graph-impl]
org.aksw.agdistis.util,TripleIndexCreator,addDocumentToIndex,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreator,indexTSVFile,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndexCreatorContext,main,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
null,TripleIndexTest,close,"[junit:junit,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,TripleIndex,getFromIndex,"[org.apache.lucene:lucene-core,org.slf4j:slf4j-api]"
org.aksw.agdistis.util,Stemming,"",[edu.stanford.nlp:stanford-corenlp]
