packageName,className,methodName,api,mcrCategories,mcrTags,count,countAll,proportion
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,"",org.apache.lucene:lucene-core,null,null,1,9,0.11
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,"",log4j:log4j,null,null,3,9,0.33
proj.zoie.example.service.impl,ExampleZoieSearchServiceImpl,"",com.senseidb.zoie:zoie-core,null,null,5,9,0.56
proj.zoie.test.data,DataInterpreterForTests,"",org.apache.lucene:lucene-core,null,null,4,4,1.0
proj.zoie.api,ZoieSegmentReader,numDocs,org.apache.lucene:lucene-core,null,null,2,2,1.0
proj.zoie.impl.indexing,SmartReaderCache,refreshCache,log4j:log4j,null,null,4,4,1.0
proj.zoie.pair.impl,Pair,returnIndexReaders,org.apache.lucene:lucene-core,null,null,3,3,1.0
proj.zoie.hourglass.impl,HourglassReaderManager,"",log4j:log4j,null,null,11,12,0.92
proj.zoie.hourglass.impl,HourglassReaderManager,"",org.apache.lucene:lucene-core,null,null,1,12,0.08
proj.zoie.impl.indexing,DefaultReaderCache,"",log4j:log4j,null,null,7,9,0.78
proj.zoie.impl.indexing,DefaultReaderCache,"",org.apache.lucene:lucene-core,null,null,2,9,0.22
proj.zoie.api,ZoieSegmentReader,getLiveDocs,org.apache.lucene:lucene-core,null,null,12,12,1.0
proj.zoie.api,ZoieMultiReader,getInnerRefCount,org.apache.lucene:lucene-core,null,null,2,2,1.0
proj.zoie.api,ZoieSegmentReader,init,org.apache.lucene:lucene-core,null,null,14,14,1.0
proj.zoie.dataprovider.jdbc,JDBCStreamDataProvider,reset,log4j:log4j,null,null,8,8,1.0
proj.zoie.dataprovider.jms,JMSStreamDataProvider,stop,log4j:log4j,null,null,4,5,0.8
proj.zoie.dataprovider.jms,JMSStreamDataProvider,stop,com.senseidb.zoie:zoie-core,null,null,1,5,0.2
proj.zoie.store,LuceneStore,close,org.apache.lucene:lucene-core,null,null,2,2,1.0
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,"",org.mockito:mockito-all,null,null,8,9,0.89
proj.zoie.dataprovider.jms,TestJMSStreamDataProvider,"",junit:junit,null,null,1,9,0.11
proj.zoie.perf.client,SearchQueryHandler,handleQuery,com.senseidb.zoie:zoie-core,null,null,3,23,0.13
proj.zoie.perf.client,SearchQueryHandler,handleQuery,org.apache.lucene:lucene-core,null,null,20,23,0.87
proj.zoie.hourglass.impl,HourGlassScheduler,"",log4j:log4j,null,null,11,11,1.0
proj.zoie.impl.indexing,ZoieConfig,setAnalyzer,org.apache.lucene:lucene-core,null,null,3,3,1.0
proj.zoie.impl.indexing,ReaderCacheFactory,newInstance,org.apache.lucene:lucene-core,null,null,1,1,1.0
proj.zoie.impl.indexing.internal,BatchedIndexDataLoader,processBatch,log4j:log4j,null,null,10,10,1.0
proj.zoie.impl.indexing.internal,IndexReaderDispenser,"",log4j:log4j,null,null,5,6,0.83
