packageName,className,methodName,apis
io.dashbase.clue.util,MatcherDocIdSetIterator,nextDoc,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,IndexTrimCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DefaultIndexReaderFactory,initialize,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,PostingsCommand,execute,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,IntArrayDocIdSetIterator,"",[org.apache.lucene:lucene-core]
io.dashbase.clue.api,DefaultQueryBuilder,"",[org.apache.lucene:lucene-queryparser]
io.dashbase.clue.client,CmdlineHelper,toQuery,[org.apache.lucene:lucene-core]
io.dashbase.clue.test,PayloadTokenizer,reset,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,AnalyzerFactory,forIndexing,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,CustomBufferedIndexInput,readLong,[org.apache.lucene:lucene-core]
io.dashbase.clue,LuceneContext,fieldNames,[org.apache.lucene:lucene-core]
io.dashbase.clue.test,BuildSampleIndex,addMetaString,[org.apache.lucene:lucene-core]
io.dashbase.clue.api,BytesRefPrinter,print,[org.apache.lucene:lucene-core]
io.dashbase.clue.commands,NormsCommand,showDocId,[org.apache.lucene:lucene-core]
io.dashbase.clue.test,PayloadTokenizer,intToByteArray,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,CustomBufferedIndexInput,flushBuffer,[org.apache.lucene:lucene-core]
io.dashbase.clue.util,CustomBufferedIndexInput,readInt,[org.apache.lucene:lucene-core]
io.dashbase.clue.test,BuildSampleIndex,main,[org.apache.lucene:lucene-core]
