packageName,className,methodName,apis
org.dependencytrack.resources.v1,PermissionResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResourceTest,createPolicyTest,[us.springett:alpine]
org.dependencytrack.resources.v1,SearchResource,licenseSearch,[us.springett:alpine]
org.dependencytrack.model,OrganizationalEntity,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResource,deleteProject,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectResource,getProject,[us.springett:alpine]
org.dependencytrack.tasks.scanners,VulnDbAnalysisTask,processResults,[us.springett:vulndb-data-mirror]
org.dependencytrack.upgrade,UpgradeInitializer,contextInitialized,[us.springett:alpine]
org.dependencytrack.model,Vulnerability,"",[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,RefreshComponentMetrics,[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,getProjectMetricsXDays,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,addTeamToUserInvalidUserTest,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,createManagedUserInvalidUsernameTest,[us.springett:alpine]
org.dependencytrack.tasks.repositories,GoModulesMetaAnalyzerTest,testAnalyzer,[com.github.package-url:packageurl-java]
org.dependencytrack.integrations.kenna,KennaDataTransformer,generateKdiVulnDef,[org.json:json]
org.dependencytrack.persistence,DefaultObjectGeneratorTest,testLoadDefaultPersonas,[us.springett:alpine]
org.dependencytrack.resources.v1,BomResourceTest,uploadBomAutoCreateTest,[us.springett:alpine]
org.dependencytrack.resources.v1,LicenseGroupResource,createLicenseGroup,[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,getProjectCurrentMetrics,[us.springett:alpine]
org.dependencytrack.resources.v1,SearchResource,serviceSearch,[us.springett:alpine]
org.dependencytrack.tasks,DefectDojoUploadTask,"",[us.springett:alpine]
org.dependencytrack.tasks.repositories,NpmMetaAnalyzerTest,testAnalyzer,[com.github.package-url:packageurl-java]
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,submit,"[com.konghq:unirest-java,us.springett:alpine]"
org.dependencytrack.resources.v1,OidcResourceAuthenticatedTest,createGroupShouldIndicateBadRequestWhenRequestIsInvalid,[us.springett:alpine]
org.dependencytrack.resources.v1,ServiceResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ServiceResource,deleteService,[us.springett:alpine]
org.dependencytrack.notification,NotificationSubsystemInitializer,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,updateConfigPropertiesAggregateTest,[us.springett:alpine]
org.dependencytrack.search,ServiceComponentIndexer,"",[us.springett:alpine]
org.dependencytrack.tasks.scanners,NpmAuditAnalysisTask,isCapable,[com.github.package-url:packageurl-java]
org.dependencytrack.util,InternalComponentIdentificationUtilTest,testIsInternal,"[org.mockito:mockito-core,us.springett:alpine]"
org.dependencytrack.resources.v1,AnalysisResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.resources.v1,BomResource,exportComponentAsCycloneDx,"[org.cyclonedx:cyclonedx-core-java,us.springett:alpine]"
org.dependencytrack.resources.v1,PermissionResourceTest,removePermissionFromTeamInvalidPermissionTest,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyViolationResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,TeamResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.search,ComponentIndexer,add,"[org.apache.lucene:lucene-core,us.springett:alpine]"
org.dependencytrack.tasks.scanners,OssIndexAnalysisTask,generateVulnerability,"[us.springett:alpine,us.springett:cvss-calculator]"
org.dependencytrack.integrations,FindingPackagingFormat,getDocument,[org.json:json]
org.dependencytrack.integrations.fortifyssc,FortifySscClientTest,after,[org.mock-server:mockserver-netty]
org.dependencytrack.model,RepositoryTypeTest,testResolveUnsupported,[com.github.package-url:packageurl-java]
org.dependencytrack.parser.nvd,NvdParser,parse,[us.springett:alpine]
org.dependencytrack.persistence,QueryManager,getProjects,[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,getPortfolioMetricsXDays,[us.springett:alpine]
org.dependencytrack.resources.v1,BomResource,uploadBom,[us.springett:alpine]
org.dependencytrack.resources.v1,OidcResourceUnauthenticatedTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.common,UnirestFactory,"",[com.konghq:unirest-java]
org.dependencytrack.persistence,DefaultObjectGenerator,getPortfolioManagersPermissions,[us.springett:alpine]
org.dependencytrack.resources.v1,ComponentResource,getAllComponents,[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,"",[us.springett:alpine]
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzer,isApplicable,[com.github.package-url:packageurl-java]
org.dependencytrack.resources.v1,PolicyResourceTest,addProjectToPolicyProjectAlreadyAddedTest,[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectPropertyResource,createProperty,[us.springett:alpine]
org.dependencytrack.integrations.kenna,KennaDataTransformer,"",[org.json:json]
org.dependencytrack.notification.publisher,WebhookPublisher,inform,"[io.pebbletemplates:pebble,us.springett:alpine]"
org.dependencytrack.policy,LicensePolicyEvaluator,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ComponentResource,createComponent,[us.springett:alpine]
org.dependencytrack.resources.v1,ComponentResource,identifyInternalComponents,[us.springett:alpine]
org.dependencytrack.resources.v1,MetricsResource,getProjectMetrics,[us.springett:alpine]
org.dependencytrack.integrations.defectdojo,DefectDojoClientTest,"",[org.mock-server:mockserver-netty]
org.dependencytrack.policy,LicenseGroupPolicyEvaluatorTest,unknownLicenseViolateWhitelist,[us.springett:alpine]
org.dependencytrack.policy,PackageURLPolicyEvaluator,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,getConfigPropertiesTest,[us.springett:alpine]
org.dependencytrack.tasks.repositories,NugetMetaAnalyzer,isApplicable,[com.github.package-url:packageurl-java]
org.dependencytrack.tasks.scanners,BaseComponentAnalyzerTask,handleUnexpectedHttpResponse,[us.springett:alpine]
org.dependencytrack.util,InternalComponentIdentificationUtil,isInternalGroup,[us.springett:alpine]
org.dependencytrack.resources.v1,ConfigPropertyResourceTest,updateConfigPropertyBooleanTest,[us.springett:alpine]
org.dependencytrack.resources.v1,LdapResourceTest,addMappingTest,[us.springett:alpine]
org.dependencytrack.resources.v1,NotificationRuleResourceTest,configureDeployment,[us.springett:alpine]
org.dependencytrack.tasks.repositories,ComposerMetaAnalyzerTest,beforeClass,[org.mock-server:mockserver-netty]
org.dependencytrack.persistence,NotificationQueryManager,createNotificationPublisher,[us.springett:alpine]
org.dependencytrack.persistence.defaults,DefaultLicenseGroupImporter,loadDefaults,"[org.json:json,us.springett:alpine]"
org.dependencytrack.resources.v1,LdapResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,ProjectPropertyResource,getProperties,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,createManagedUserInvalidFullnameTest,[us.springett:alpine]
org.dependencytrack.tasks,FortifySscUploadTask,inform,[us.springett:alpine]
org.dependencytrack,ResourceTest,"",[us.springett:alpine]
org.dependencytrack.parser.npm,NpmAuditParser,"",[us.springett:alpine]
org.dependencytrack.resources.v1,AccessControlResource,"",[us.springett:alpine]
org.dependencytrack.resources.v1,RepositoryResource,updateRepository,[us.springett:alpine]
org.dependencytrack.resources.v1,UserResourceAuthenticatedTest,createManagedUserTest,[us.springett:alpine]
org.dependencytrack.parser.vulndb,ModelConverter,"",[us.springett:alpine]
org.dependencytrack.persistence,ComponentQueryManager,"",[us.springett:alpine]
org.dependencytrack.policy,SeverityPolicyEvaluator,evaluate,[us.springett:alpine]
org.dependencytrack.resources.v1,PolicyResource,deletePolicy,[us.springett:alpine]
org.dependencytrack.tasks,VulnerabilityManagementUploadTask,"",[us.springett:alpine]
