filePath,packageName,className,methodName,line,column,javaParserTypeOfElement,usedClassOfElement,isAPIClass,api,mcrCategories,mcrTags
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,23,3,ConstructorDeclaration,proj.zoie.perf.client.SearchQueryHandler,false (src),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,,23,86,ClassOrInterfaceType,java.lang.Exception,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,42,28,ObjectCreationExpr,org.apache.lucene.index.MultiReader,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,43,18,ObjectCreationExpr,org.apache.lucene.search.IndexSearcher,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,34,3,MethodDeclaration,org.apache.lucene.search.TopDocs,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,35,39,ClassOrInterfaceType,java.lang.Exception,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,36,23,VariableDeclarator,java.util.List,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,36,23,VariableDeclarator,org.apache.lucene.index.IndexReader,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,37,19,VariableDeclarator,org.apache.lucene.search.IndexSearcher,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,39,11,VariableDeclarator,org.apache.lucene.search.Query,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,42,19,VariableDeclarator,org.apache.lucene.index.MultiReader,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,44,15,VariableDeclarator,org.apache.lucene.search.TopDocs,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,38,15,NameExpr,java.util.Random,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,38,29,NameExpr,org.apache.lucene.search.Query,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,39,15,NameExpr,org.apache.lucene.search.Query,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,41,7,NameExpr,java.util.List,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,41,7,NameExpr,org.apache.lucene.index.IndexReader,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,41,17,NameExpr,proj.zoie.api.IndexReaderFactory,true,com.senseidb.zoie:zoie-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,42,44,NameExpr,java.util.List,false (JRE),,,
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,42,44,NameExpr,org.apache.lucene.index.IndexReader,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,43,7,NameExpr,org.apache.lucene.search.IndexSearcher,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,43,36,NameExpr,org.apache.lucene.index.MultiReader,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,44,22,NameExpr,org.apache.lucene.search.IndexSearcher,true,org.apache.lucene:lucene-core,null,null
zoie-perf/src/main/java/proj/zoie/perf/client/SearchQueryHandler.java,proj.zoie.perf.client,SearchQueryHandler,handleQuery,44,38,NameExpr,org.apache.lucene.search.Query,true,org.apache.lucene:lucene-core,null,null
